#
#  This is a complete list of isotopes for entry in the Conditions DB
#  Note: 1amu = 931.4943 MeV (to convert from atomic number to amu one 
#        need to take into account the binding energy (cf. Encyclopedia 
#        Britanica vol. 14 pages 364-365.
#  Do not remove the following line it's a tag !
#Isotopes_list
Name               Z    N    A(amu)
Hydrogen1          1    1    1.007825
Hydrogen2          1    2    2.014102
Helium3            2    3    3.016029
Helium4            2    4    4.002603
Lithium6           3    6    6.015122
Lithium7           3    7    7.016003
Beryllium9         4    9    9.012183
Boron10            5   10   10.012937
Boron11            5   11   11.009305
Carbon12           6   12   12.000000
Carbon13           6   13   13.003355
Nitrogen14         7   14   14.003074
Nitrogen15         7   15   15.000110
Oxygen16           8   16   15.994915
Oxygen17           8   17   16.999132
Oxygen18           8   18   17.999160
Fluorine19         9   19   18.998404
Neon20            10   20   19.992436
Neon21            10   21   20.993844
Neon22            10   22   21.991383
Sodium23          11   23   22.989768
Magnesium24       12   24   23.985042
Magnesium25       12   25   24.985838
Magnesium26       12   26   25.982594
Aluminum27        13   27   26.981538
Silicon28         14   28   27.976927
Silicon29         14   29   28.976495
Silicon30         14   30   29.973770
Phosphorus31      15   31   30.973762
Sulfur32          16   32   31.972071
Sulfur33          16   33   32.971458
Sulfur34          16   34   33.967867
Sulfur36          16   36   35.967081
Chlorine35        17   35   34.968852
Chlorine37        17   37   36.965902
Argon36           18   36   35.967546
Argon38           18   38   37.962732
Argon40           18   40   39.962383
Potasium39        19   39   38.963707
Potasium40        19   40   39.963999
Potasium41        19   41   40.961825
Calcium40         20   40   39.962590
Calcium42         20   42   41.958617
Calcium43         20   43   42.958766
Calcium44         20   44   43.955480
Calcium46         20   46   45.953689
Calcium48         20   48   47.952532
Scandium45        21   45   44.955910
Titanium46        22   46   45.952629
Titanium47        22   47   46.951764
Titanium48        22   48   47.947947
Titanium49        22   49   48.947871
Titanium50        22   50   49.944792
Vanadium50        23   50   49.947159
Vanadium51        23   51   50.943960
Chromium50        24   50   49.946046
Chromium52        24   52   51.940510
Chromium53        24   53   52.940651
Chromium54        24   54   53.938882
Manganese55       25   55   54.938047
Iron54            26   54   53.939612
Iron56            26   56   55.934939
Iron57            26   57   56.935395
Iron58            26   58   57.933277
Cobalt59          27   59   58.933198
Nickel58          28   58   57.935346
Nickel60          28   60   59.930788
Nickel61          28   61   60.931057
Nickel62          28   62   61.928345
Nickel64          28   64   63.927967
Copper63          29   63   62.929598
Copper65          29   65   64.927792
Zinc64            30   64   63.929144
Zinc66            30   66   65.926034
Zinc67            30   67   66.927129
Zinc68            30   68   67.924845
Zinc70            30   70   69.925324
Gallium69         31   69   68.925579
Gallium71         31   71   70.924701
Germanium70       32   70   69.924250
Germanium72       32   72   71.922078
Germanium73       32   73   72.923462
Germanium74       32   74   73.921177
Germanium76       32   76   75.921400
Arsenic75         33   75   74.921594
Selenium74        34   74   73.922474
Selenium76        34   76   75.919212
Selenium77        34   77   76.919911
Selenium78        34   78   77.917307
Selenium80        34   80   79.916519
Selenium82        34   82   81.916697
Bromine79         35   79   78.918336 
Bromine81         35   81   80.916288
Krypton78         36   78   77.920395
Krypton80         36   80   79.916380
Krypton82         36   82   81.913482
Krypton83         36   83   82.914135
Krypton84         36   84   83.911507
Krypton86         36   86   85.910614
Rubidium85        37   85   84.911793
Rubidium87        37   87   86.909187
Strontium84       38   84   83.913429  
Strontium86       38   86   85.909266
Strontium87       38   87   86.908883
Strontium88       38   88   87.905618
Yttrium89         39   89   88.905848
Zirconium90       40   90   89.904702
Zirconium91       40   91   90.905643
Zirconium92       40   92   91.905038
Zirconium94       40   94   93.906314
Zirconium96       40   96   95.908274
Niobium93         41   93   92.906376
Molybdenum92      42   92   91.906808
Molybdenum94      42   94   93.905085
Molybdenum95      42   95   94.905841
Molybdenum96      42   96   95.904678
Molybdenum97      42   97   96.906020
Molybdenum98      42   98   97.905407
Molybdenum100     42  100   99.907476
Ruthenium96       44   96   95.907598
Ruthenium98       44   98   97.905286
Ruthenium99       44   99   98.905938
Ruthenium100      44  100   99.904218
Ruthenium101      44  101  100.905581 
Ruthenium102      44  102  101.904348 
Ruthenium104      44  104  103.905423
Rhodium103        45  103  102.905499
Palladium102      46  102  101.905633
Palladium104      46  104  103.904028
Palladium105      46  105  104.905078
Palladium106      46  106  105.903478
Palladium108      46  108  107.903893
Palladium110      46  110  109.905169
Silver107         47  107  106.905091
Silver109         47  109  108.904753
Cadmium106        48  106  105.906459
Cadmium108        48  108  107.904174
Cadmium110        48  110  109.903004
Cadmium111        48  111  110.904181
Cadmium112        48  112  111.902756
Cadmium113        48  113  112.904400
Cadmium114        48  114  113.903356
Cadmium116        48  116  115.904754
Indium113         49  113  112.904061
Indium115         49  115  114.903881
Tin112            50  112  111.904825
Tin114            50  114  113.902783
Tin115            50  115  114.903347
Tin116            50  116  115.901746
Tin117            50  117  116.902956
Tin118            50  118  117.901608
Tin119            50  119  118.903310
Tin120            50  120  119.902198
Tin122            50  122  121.903440
Tin124            50  124  123.905274
Antimony121       51  121  120.903820  
Antimony123       51  123  122.904215
Tellurium120      52  120  119.904047
Tellurium122      52  122  121.903049
Tellurium123      52  123  122.904270
Tellurium124      52  124  123.902817
Tellurium125      52  125  124.904428
Tellurium126      52  126  125.903309
Tellurium128      52  128  127.904462
Tellurium130      52  130  129.906228
Iodine127         53  127  126.904472
Xenon124          54  124  123.905893
Xenon126          54  126  125.904280
Xenon128          54  128  127.903530
Xenon129          54  129  128.904780
Xenon130          54  130  129.903509
Xenon131          54  131  130.905071
Xenon132          54  132  131.904143
Xenon134          54  134  133.905393
Xenon136          54  136  135.907212
Cesium133         55  133  132.905427
Barium130         56  130  129.906280
Barium132         56  132  131.905041
Barium134         56  134  133.904484
Barium135         56  135  134.905663
Barium136         56  136  135.904551
Barium137         56  137  136.905811
Barium138         56  138  137.905231
Lanthanum138      57  138  137.907105
Lanthanum139      57  139  138.906346
Cerium136         58  136  135.907139
Cerium138         58  138  137.905984
Cerium140         58  140  139.905433
Cerium142         58  142  141.909241
Praseodymium141   59  141  140.907646
Neodymium142      60  142  141.907719
Neodymium143      60  143  142.909809
Neodymium144      60  144  143.910083
Neodymium145      60  145  144.912570
Neodymium146      60  146  145.913113
Neodymium148      60  148  147.916888
Neodymium150      60  150  149.920886
Samarium144       62  144  143.911997
Samarium147       62  147  146.914894
Samarium148       62  148  147.914819
Samarium149       62  149  148.917179
Samarium150       62  150  149.917272
Samarium152       62  152  151.919728
Samarium154       62  154  153.922205
Europium151       63  151  150.919846
Europium153       63  153  152.921224
Gadolinium152     64  152  151.919786
Gadolinium154     64  154  153.920861
Gadolinium155     64  155  154.922617
Gadolinium156     64  156  155.922118
Gadolinium157     64  157  156.923956
Gadolinium158     64  158  157.924098
Gadolinium160     64  160  159.927060
Terbium159        65  159  158.925342
Dysprosium156     66  156  155.924275
Dysprosium158     66  158  157.924402
Dysprosium160     66  160  159.925192
Dysprosium161     66  161  160.926929
Dysprosium162     66  162  161.926795
Dysprosium163     66  163  162.928727
Dysprosium164     66  164  163.929171
Holmium165        67  165  164.930318
Erbium162         68  162  161.928774
Erbium164         68  164  163.929198
Erbium166         68  166  165.930289
Erbium167         68  167  166.932046
Erbium168         68  168  167.932368
Erbium170         68  170  169.935461
Thulium169        69  169  168.934211
Ytterbium168      70  168  167.933893
Ytterbium170      70  170  169.934759
Ytterbium171      70  171  170.936323
Ytterbium172      70  172  171.936378
Ytterbium173      70  173  172.938207
Ytterbium174      70  174  173.938859
Ytterbium176      70  176  175.942563
Lutetium175       71  175  174.940769
Lutetium176       71  176  175.942678
Hafnium174        72  174  173.940044
Hafnium176        72  176  175.941405
Hafnium177        72  177  176.943217
Hafnium178        72  178  177.943696
Hafnium179        72  179  178.945812
Hafnium180        72  180  179.946545
Tantalum180       73  180  179.947547
Tantalum181       73  181  180.947992
Tungsten180       74  180  179.946701
Tungsten182       74  182  181.948202
Tungsten183       74  183  182.950220
Tungsten184       74  184  183.950928
Tungsten186       74  186  185.954356
Rhenium185        75  185  184.952951
Rhenium187        75  187  186.955744
Osmium184         76  184  183.952488
Osmium186         76  186  185.953830
Osmium187         76  187  186.955741
Osmium188         76  188  187.955829
Osmium189         76  189  188.958137
Osmium190         76  190  189.958436
Osmium192         76  192  191.961467
Iridium191        77  191  190.960584
Iridium193        77  193  192.962917
Platinum192       78  192  191.961019
Platinum194       78  194  193.962655
Platinum195       78  195  194.964765
Platinum196       78  196  195.964926
Platinum198       78  198  197.967869
Gold197           79  197  196.966543
Mercury196        80  196  195.965807
Mercury198        80  198  197.966743
Mercury199        80  199  198.968254
Mercury200        80  200  199.968299
Mercury201        80  201  200.970277
Mercury202        80  202  201.970617
Mercury204        80  204  203.973466
Thallium203       81  203  202.972320
Thallium205       81  205  204.974400
Lead204           82  204  203.973020
Lead206           82  206  205.974440
Lead207           82  207  206.975871
Lead208           82  208  207.976627
Bismuth209        83  209  208.980374
Polonium209       84  209  208.982400   
Astatine210       85  210  209.987100    
Radon222          86  222  222.017600    
Francium223       87  223  223.019700    
Radium226         88  226  226.025400    
Actinium227       89  227  227.027800    
Thorium232        90  232  231.961946
Protactinium231   91  231  231.035880  
Uranium234        92  234  234.040947
Uranium235        92  235  235.043924
Uranium238        92  238  238.050785
