TABLE CRVSiPM
#channel,pedestal,calibPulseHeight,calibPulseArea
0,2037.73,18.9883,548.792
1,2043.97,15.995,459.101
2,2044.32,19.38,547.284
3,2053.74,17.0215,483.248
4,2056.13,20.5165,552.271
5,2050.91,17.6088,494.182
6,2049.35,18.5943,480.528
7,2040.45,16.6871,428.224
8,2038.02,19.7525,561.785
9,2038.95,16.9834,480.074
10,2052.3,19.8651,570.658
11,2061.45,17.9223,503.865
12,2029.23,19.86,571.591
13,2043.09,17.0721,473.805
14,2037.83,19.6458,553.197
15,2041.78,15.7869,444.413
16,2045.23,19.6327,567.683
17,2028.26,18.3455,539.547
18,2027.74,20.2274,585.334
19,2049.12,17.8639,525.143
20,2047.96,21.1826,595.052
21,2059.89,18.5161,536.384
22,2052.77,21.2673,575.223
23,2049.58,18.6202,525.985
24,2041.97,21.1236,582.404
25,2046.24,17.5609,505.072
26,2038.52,20.6943,589.512
27,2049.3,17.8464,513.589
28,2064.56,20.694,586.841
29,2049.14,17.0167,483.417
30,2034.46,19.3732,563.13
31,2067.27,17.6066,492.344
32,2035.37,20.3966,589.293
33,2039.04,17.5197,486.307
34,2040.03,21.2189,600.371
35,2030.85,18.303,495.023
36,2050.88,20.1775,568.725
37,2048.02,18.5868,502.017
38,2045.65,21.0611,588.752
39,2051.77,16.7741,448.821
40,2030.95,19.7273,567.198
41,2051.12,16.9501,489.269
42,2052.96,19.3152,563.977
43,2046.35,16.5044,462.293
44,2060,19.5087,551.971
45,2038.15,16.5447,448.398
46,2043.83,20.0858,562.268
47,2034.05,16.9715,520.002
48,2042.46,18.3557,511.207
49,2045.02,18.976,524.976
50,2041.72,18.8874,529.313
51,2041.96,17.7297,499.982
52,2038.03,17.9388,515.149
53,2041.99,19.3032,533.2
54,2038.83,18.3395,512.011
55,2053.46,17.7389,484.59
56,2053.58,17.4822,507.988
57,2053.98,17.3143,501.115
58,2068.23,17.4207,503.88
59,2040.54,18.12,513.907
60,2035.66,18.482,521.541
61,2047.58,17.8056,505.192
62,2044.94,18.0218,522.872
63,2045.71,17.6229,497.138
64,2046.97,17.7092,515.262
65,2058.78,18.5402,515.966
66,2040.23,17.6913,509.134
67,2032.62,18.6263,532.006
68,2053.76,18.8062,508.268
69,2054.39,18.7042,510.489
70,2049.11,18.1432,488.856
71,2037.75,18.7185,515.175
72,2038.09,19.0542,522.401
73,2049.53,20.6497,582.482
74,2040.46,18.0844,505.631
75,2062.45,20.393,575.269
76,2054.11,17.9053,498.8
77,2051.72,20.6002,577.19
78,2044.28,18.5502,521.608
79,2056.59,19.859,568.314
80,2039.7,20.4179,563.822
81,2045.17,15.8907,464.502
82,2058.95,19.3812,558.143
83,2038.73,16.2504,471.718
84,2042.36,20.0107,565.224
85,2041.93,15.1886,447.721
86,2034.81,20.2588,570.347
87,2050.7,15.2613,446.713
88,2035.94,19.7295,568.898
89,2061.41,14.4835,420.313
90,2045.81,20.9078,591.115
91,2054.66,14.6856,427.155
92,2038.81,19.2431,559.285
93,2063.12,14.3164,422.967
94,2039.52,21.3188,584.081
95,2049.38,14.0441,405.167
96,2054.07,19.1585,539.674
97,2053.75,17.3703,504.49
98,2047.53,18.7166,536.299
99,2054.09,17.0204,495.437
100,2056.12,18.5367,522.757
101,2036.76,17.9701,504.743
102,2069.36,19.3454,535.373
103,2048.69,17.6386,491.732
104,2029.52,17.475,494.954
105,2030.94,17.4566,504.343
106,2047.17,18.7416,536.023
107,2052.67,17.269,494.987
108,2059.53,17.6883,514.147
109,2037.95,16.5227,477.197
110,2038.36,18.9966,532.082
111,2068.06,16.8552,485.8
112,2054.78,17.8308,496.951
113,2060.89,17.857,511.148
114,2047.61,18.1763,501.708
115,2054.83,18.0881,505.903
116,2049.27,18.2599,502.969
117,2048.55,18.2909,495.092
118,2061.89,18.3761,504.672
119,2061.16,18.298,505.825
120,2044.65,18.8981,507.143
121,2052.67,19.3665,537.535
122,2057.28,18.8623,516.075
123,2046.78,19.1389,540.658
124,2045.09,17.7018,491.935
125,2043.12,19.6665,546.962
126,2056.49,18.8239,507.805
127,2052.37,18.3311,525.812
128,2047.27,19.5472,557.46
129,2046.22,16.4807,461.571
130,2038.11,20.5526,568.671
131,2046.43,15.8966,436.796
132,2027.55,19.9593,552.369
133,2039.69,16.3553,448.262
134,2042.67,19.0704,518.872
135,2042.57,14.5817,372.637
136,2042.25,19.8342,562.228
137,2020.94,16.2715,474.625
138,2039.65,20.2951,564.176
139,2032.68,16.6273,500.232
140,2054.21,19.8888,549.345
141,2048.95,15.9934,429.148
142,2035.65,20.217,554.015
143,2035.66,16.1138,438.331
144,2050.75,20.0577,586.12
145,2040.66,18.1904,504.614
146,2049.9,20.6594,567.22
147,2052.19,18.3813,511.655
148,2039.94,19.4967,540.042
149,2037.9,16.5957,464.611
150,2054.93,20.379,540.254
151,2054.92,17.915,481.106
152,2054.57,19.7409,558.921
153,2051.14,16.7255,490.29
154,2053.1,18.6112,541.984
155,2041.8,17.0321,494.632
156,2047.74,20.2302,551.383
157,2037.98,16.8914,486.295
158,2045.99,21.0206,575.087
159,2066.95,17.128,483.47
160,2043.19,18.8473,529.169
161,2057.92,17.7622,497.163
162,2063.86,19.8147,550.764
163,2051.05,16.1752,465.861
164,2049.3,19.4578,535.997
165,2053.19,16.8758,477.219
166,2049.06,20.1805,528.722
167,2041.13,15.6517,403.377
168,2054.27,19.9978,552.475
169,2043.17,16.9361,478.379
170,2038.91,20.0955,555.044
171,2053.57,17.172,484.693
172,2052.95,19.1779,542.852
173,2046.81,16.8153,476.539
174,2057.38,20.7867,565.876
175,2046.51,17.1515,448.603
176,2044.8,17.639,501.008
177,2024.55,18.0869,515.804
178,2063.25,16.8211,485.163
179,2039.62,18.4519,546.682
180,2047.5,17.644,495.439
181,2047.54,18.4807,518.095
182,2045.36,18.2213,498.677
183,2061.54,18.4099,505.518
184,2039.01,19.1749,524.735
185,2033.47,16.0269,462.969
186,2043.34,17.4214,492.238
187,2034.01,17.1617,493.909
188,2052.88,18.5035,517.415
189,2036.78,17.0858,485.22
190,2058.3,18.6162,508.464
191,2064.43,17.4191,484.697
192,2049.54,21.9053,626.392
193,2024.04,17.3444,493.246
194,2040.44,21.664,622.204
195,2014.7,15.7941,473.565
196,2030.75,22.9166,643.558
197,2032.94,16.864,473.925
198,2046.25,21.152,606.887
199,2035.57,16.301,473.384
200,2049.48,22.6244,634.891
201,2055.68,16.4517,484.142
202,2054.91,21.2188,605.485
203,2048.68,16.4486,483.712
204,2054.87,20.5387,586.314
205,2051.46,17.6123,509.434
206,2062.21,21.0893,615.967
207,2035.88,16.2901,482.992
208,2040.19,19.0185,521.428
209,2046.83,19.4741,628.681
