TABLE CRVTime 1205
#2048 channels, sigma: 1.0, limitlow: -3.0, limithigh: 3.0
#channel,timeOffset
0,0.287
1,0.437
2,0.287
3,0.437
4,0.287
5,0.437
6,0.287
7,0.437
8,0.287
9,0.437
10,0.287
11,0.437
12,0.287
13,0.437
14,0.287
15,0.437
16,0.287
17,0.437
18,0.287
19,0.437
20,0.287
21,0.437
22,0.287
23,0.437
24,0.287
25,0.437
26,0.287
27,0.437
28,0.287
29,0.437
30,0.287
31,0.437
32,0.287
33,0.437
34,0.287
35,0.437
36,0.287
37,0.437
38,0.287
39,0.437
40,0.287
41,0.437
42,0.287
43,0.437
44,0.287
45,0.437
46,0.287
47,0.437
48,0.287
49,0.437
50,0.287
51,0.437
52,0.287
53,0.437
54,0.287
55,0.437
56,0.287
57,0.437
58,0.287
59,0.437
60,0.287
61,0.437
62,0.287
63,0.437
64,0.287
65,0.437
66,0.287
67,0.437
68,0.287
69,0.437
70,0.287
71,0.437
72,0.287
73,0.437
74,0.287
75,0.437
76,0.287
77,0.437
78,0.287
79,0.437
80,0.287
81,0.437
82,0.287
83,0.437
84,0.287
85,0.437
86,0.287
87,0.437
88,0.287
89,0.437
90,0.287
91,0.437
92,0.287
93,0.437
94,0.287
95,0.437
96,0.287
97,0.437
98,0.287
99,0.437
100,0.287
101,0.437
102,0.287
103,0.437
104,0.287
105,0.437
106,0.287
107,0.437
108,0.287
109,0.437
110,0.287
111,0.437
112,0.287
113,0.437
114,0.287
115,0.437
116,0.287
117,0.437
118,0.287
119,0.437
120,0.287
121,0.437
122,0.287
123,0.437
124,0.287
125,0.437
126,0.287
127,0.437
128,0.287
129,0.437
130,0.925
131,0.928
132,0.925
133,0.928
134,0.925
135,0.928
136,0.925
137,0.928
138,0.925
139,0.928
140,0.925
141,0.928
142,0.925
143,0.928
144,0.925
145,0.928
146,0.925
147,0.928
148,0.925
149,0.928
150,0.925
151,0.928
152,0.925
153,0.928
154,0.925
155,0.928
156,0.925
157,0.928
158,0.925
159,0.928
160,0.925
161,0.928
162,0.925
163,0.928
164,0.925
165,0.928
166,0.925
167,0.928
168,0.925
169,0.928
170,0.925
171,0.928
172,0.925
173,0.928
174,0.925
175,0.928
176,0.925
177,0.928
178,0.925
179,0.928
180,0.925
181,0.928
182,0.925
183,0.928
184,0.925
185,0.928
186,0.925
187,0.928
188,0.925
189,0.928
190,0.925
191,0.928
192,0.925
193,0.928
194,0.925
195,0.928
196,0.925
197,0.928
198,0.925
199,0.928
200,0.925
201,0.928
202,0.925
203,0.928
204,0.925
205,0.928
206,0.925
207,0.928
208,0.925
209,0.928
210,0.925
211,0.928
212,0.925
213,0.928
214,0.925
215,0.928
216,0.925
217,0.928
218,0.925
219,0.928
220,0.925
221,0.928
222,0.925
223,0.928
224,0.925
225,0.928
226,0.925
227,0.928
228,0.925
229,0.928
230,0.925
231,0.928
232,0.925
233,0.928
234,0.925
235,0.928
236,0.925
237,0.928
238,0.925
239,0.928
240,0.925
241,0.928
242,0.925
243,0.928
244,0.925
245,0.928
246,0.925
247,0.928
248,0.925
249,0.928
250,0.925
251,0.928
252,0.925
253,0.928
254,0.925
255,0.928
256,0.284
257,-1.051
258,0.284
259,-1.051
260,0.284
261,-1.051
262,0.284
263,-1.051
264,0.284
265,-1.051
266,0.284
267,-1.051
268,0.284
269,-1.051
270,0.284
271,-1.051
272,0.284
273,-1.051
274,0.284
275,-1.051
276,0.284
277,-1.051
278,0.284
279,-1.051
280,0.284
281,-1.051
282,0.284
283,-1.051
284,0.284
285,-1.051
286,0.284
287,-1.051
288,0.284
289,-1.051
290,0.284
291,-1.051
292,0.284
293,-1.051
294,0.284
295,-1.051
296,0.284
297,-1.051
298,0.284
299,-1.051
300,0.284
301,-1.051
302,0.284
303,-1.051
304,0.284
305,-1.051
306,0.284
307,-1.051
308,0.284
