TABLE CRVSiPM
#channel,pedestal,calibPulseHeight,calibPulseArea
0,2037.93,18.9526,547.439
1,2044.15,16.5024,472.526
2,2044.31,19.418,557.752
3,2054.29,17.2825,475.84
4,2055.95,20.5345,549.317
5,2051.45,17.8845,487.655
6,2049.14,18.7132,485.566
7,2040.39,17.1369,433.021
8,2038.35,19.6663,542.704
9,2039.2,17.3518,498.176
10,2052.45,20.0347,578.634
11,2061.5,18.4575,520.179
12,2029.31,20.0313,578.669
13,2042.65,17.6076,496.996
14,2037.7,19.8837,562.091
15,2041.59,16.2456,466.927
16,2045.08,19.7573,573.868
17,2028.14,18.8008,552.257
18,2027.77,20.3923,595.864
19,2048.98,18.2867,541.006
20,2047.76,21.3531,604.445
21,2060.3,18.9102,549.38
22,2053.14,21.4271,574.989
23,2049.34,18.9311,523.392
24,2041.99,21.3269,589.662
25,2046.52,18.0447,516.316
26,2038.41,20.8401,594.187
27,2049.21,18.347,528.458
28,2064.35,20.8903,594.498
29,2048.66,17.7617,513.607
30,2034.22,19.5539,574.194
31,2066.75,18.1422,512.623
32,2035.72,20.6003,599.543
33,2039.05,18.022,505.005
34,2040.27,21.3466,598.933
35,2030.73,18.8823,520.684
36,2050.94,20.4871,590.87
37,2047.76,19.161,522.776
38,2046.18,21.2021,589.127
39,2051.14,17.5369,500.002
40,2030.81,19.8276,573.698
41,2051.4,17.2315,490.607
42,2052.86,19.4669,575.682
43,2046.36,16.9423,475.803
44,2059.71,19.6399,563.342
45,2037.83,17.0476,471.529
46,2044.25,20.2759,560.751
47,2034.56,17.1022,510.957
48,2042.63,18.5342,514.773
49,2044.87,19.4206,536.78
50,2041.38,19.1299,536.031
51,2042.05,18.1498,516.293
52,2038.14,18.1238,523.831
53,2042.42,19.741,543.542
54,2038.7,18.5757,518.898
55,2053.23,18.2827,512.181
56,2053.22,17.6525,515.966
57,2053.94,17.7513,515.134
58,2068.27,17.6305,514.399
59,2040.67,18.652,526.407
60,2035.61,18.6741,526.86
61,2047.6,18.2674,520.48
62,2044.96,18.1981,529.438
63,2045.85,18.0222,508.867
64,2046.9,17.7786,523.622
65,2058.68,19.0902,538.988
66,2040.08,17.9451,517.271
67,2032.76,18.9505,547.256
68,2053.84,18.8568,508.618
69,2054.29,19.2188,526.754
70,2048.81,18.45,513.127
71,2038.21,19.0787,514.823
72,2037.67,19.3087,536.768
73,2049.64,21.1055,595.332
74,2040.69,18.2397,517.357
75,2062.64,20.8556,590.824
76,2054.17,17.9791,510.404
77,2051.98,21.0711,594.775
78,2044.39,18.6457,522.319
79,2056.67,20.2586,582.29
80,2039.78,20.3271,570.18
81,2045.12,16.3202,471.238
82,2058.96,19.3314,569.066
83,2038.75,16.6634,481.233
84,2042.37,20.191,571.107
85,2042,15.6301,462.714
86,2035.15,20.2884,565.285
87,2050.83,15.6685,458.44
88,2036.13,19.752,569.593
89,2061.77,14.9228,433.093
90,2046.16,21.0313,596.297
91,2054.59,15.1346,438.882
92,2038.98,19.2783,564.19
93,2063.18,14.7869,437.582
94,2039.22,21.5143,590.999
95,2049.35,14.6228,424.202
96,2054.02,19.2342,540.552
97,2053.53,17.8603,519.722
98,2047.68,18.7586,540.444
99,2054.18,17.411,505.771
100,2056.17,18.6018,518.826
101,2036.3,18.4406,517.116
102,2068.92,19.6637,548.018
103,2048.56,18.1273,508.446
104,2029.53,17.6873,500.657
105,2030.99,17.924,514.171
106,2047.06,18.8317,539.129
107,2052.69,17.7352,509.859
108,2059.62,17.8082,521.424
109,2038.06,16.9054,492.868
110,2038.54,19.0475,522.474
111,2067.57,17.3411,506.699
112,2054.81,17.9619,504.17
113,2060.82,18.2597,528.911
114,2047.47,18.228,508.753
115,2054.65,18.4378,514.231
116,2049.41,18.4021,509.978
117,2048.23,18.9154,515.675
118,2061.92,18.5881,506.406
119,2061.4,18.6951,521.352
120,2044.69,19.024,514.184
121,2052.63,19.8455,550.846
122,2057.32,18.9851,521.315
123,2047.08,19.5325,552.312
124,2045,17.8066,502.128
125,2043.27,20.1725,564.584
126,2056.67,19.0245,520.38
127,2052.39,18.8217,543.48
128,2047.18,19.4903,551.747
129,2046.44,16.9836,476.532
130,2038.43,20.6077,571.425
131,2045.99,16.6188,468.053
132,2027.81,20.0183,556.87
133,2039.67,16.9142,471.981
134,2043.61,18.6723,476.106
135,2041.95,15.2788,399.535
