TABLE CRVTime
#2304 channels, sigma: 1.0, limitlow: -3.0, limithigh: 3.0
#channel,timeOffset
0,-0.053
1,0.738
2,-0.053
3,0.738
4,-0.053
5,0.738
6,-0.053
7,0.738
8,-0.053
9,0.738
10,-0.053
11,0.738
12,-0.053
13,0.738
14,-0.053
15,0.738
16,-0.053
17,0.738
18,-0.053
19,0.738
20,-0.053
21,0.738
22,-0.053
23,0.738
24,-0.053
25,0.738
26,-0.053
27,0.738
28,-0.053
29,0.738
30,-0.053
31,0.738
32,-0.053
33,0.738
34,-0.053
35,0.738
36,-0.053
37,0.738
38,-0.053
39,0.738
40,-0.053
41,0.738
42,-0.053
43,0.738
44,-0.053
45,0.738
46,-0.053
47,0.738
48,-0.053
49,0.738
50,-0.053
51,0.738
52,-0.053
53,0.738
54,-0.053
55,0.738
56,-0.053
57,0.738
58,-0.053
59,0.738
60,-0.053
61,0.738
62,-0.053
63,0.738
64,-0.053
65,0.738
66,-0.053
67,0.738
68,-0.053
69,0.738
70,-0.053
71,0.738
72,-0.053
73,0.738
74,-0.053
75,0.738
76,-0.053
77,0.738
78,-0.053
79,0.738
80,-0.053
81,0.738
82,-0.053
83,0.738
84,-0.053
85,0.738
86,-0.053
87,0.738
88,-0.053
89,0.738
90,-0.053
91,0.738
92,-0.053
93,0.738
94,-0.053
95,0.738
96,-0.053
97,0.738
98,-0.053
99,0.738
100,-0.053
101,0.738
102,-0.053
103,0.738
104,-0.053
105,0.738
106,-0.053
107,0.738
108,-0.053
109,0.738
110,-0.053
111,0.738
112,-0.053
113,0.738
114,-0.053
115,0.738
116,-0.053
117,0.738
118,-0.053
119,0.738
120,-0.053
121,0.738
122,-0.053
123,0.738
124,-0.053
125,0.738
126,-0.053
127,0.738
128,0.355
129,0.007
130,0.355
131,0.007
132,0.355
133,0.007
134,0.355
135,0.007
136,0.355
137,0.007
138,0.355
139,0.007
140,0.355
141,0.007
142,0.355
143,0.007
144,0.355
145,0.007
146,0.355
147,0.007
148,0.355
149,0.007
150,0.355
151,0.007
152,0.355
153,0.007
154,0.355
155,0.007
156,0.355
157,0.007
158,0.355
159,0.007
160,0.355
161,0.007
162,0.355
163,0.007
164,0.355
165,0.007
166,0.355
167,0.007
168,0.355
169,0.007
170,0.355
171,0.007
172,0.355
173,0.007
174,0.355
175,0.007
176,0.355
177,0.007
178,0.355
179,0.007
180,0.355
181,0.007
182,0.355
183,0.007
184,0.355
185,0.007
186,0.355
187,0.007
188,0.355
189,0.007
190,0.355
191,0.007
192,0.355
193,0.007
194,0.355
195,0.007
196,0.355
197,0.007
198,0.355
199,0.007
200,0.355
201,0.007
202,0.355
203,0.007
204,0.355
205,0.007
206,0.355
207,0.007
208,0.355
209,0.007
210,0.355
211,0.007
212,0.355
213,0.007
214,0.355
215,0.007
216,0.355
217,0.007
218,0.355
219,0.007
220,0.355
221,0.007
222,0.355
223,0.007
224,0.355
225,0.007
226,0.355
227,0.007
228,0.355
229,0.007
230,0.355
231,0.007
232,0.355
233,0.007
234,0.355
235,0.007
236,0.355
237,0.007
238,0.355
239,0.007
240,0.355
241,0.007
242,0.355
243,0.007
244,0.355
245,0.007
246,0.355
247,0.007
248,0.355
249,0.007
250,0.355
251,0.007
252,0.355
253,0.007
254,0.355
255,0.007
256,0.355
257,-0.967
258,0.355
259,-0.967
260,0.355
261,-0.967
262,0.355
263,-0.967
264,0.355
265,-0.967
266,0.355
267,-0.967
268,0.355
269,-0.967
270,0.355
271,-0.967
272,0.355
273,-0.967
274,0.355
275,-0.967
276,0.355
277,-0.967
278,0.355
279,-0.967
280,0.355
281,-0.967
282,0.355
283,-0.967
284,0.355
285,-0.967
286,0.355
287,-0.967
288,0.355
289,-0.967
290,0.355
291,-0.967
292,0.355
293,-0.967
294,0.355
295,-0.967
296,0.355
297,-0.967
298,0.355
299,-0.967
300,0.355
301,-0.967
302,0.355
303,-0.967
304,0.355
305,-0.967
306,0.355
307,-0.967
308,0.355
309,-0.967
310,0.355
311,-0.967
312,0.355
313,-0.967
314,0.355
315,-0.967
316,0.355
317,-0.967
318,0.355
319,-0.967
320,0.355
321,-0.967
322,0.355
323,-0.967
324,0.355
325,-0.967
326,0.355
327,-0.967
328,0.355
329,-0.967
330,0.355
331,-0.967
332,0.355
333,-0.967
334,0.355
335,-0.967
336,0.355
337,-0.967
338,0.355
339,-0.967
340,0.355
341,-0.967
342,0.355
343,-0.967
344,0.355
345,-0.967
346,0.355
347,-0.967
348,0.355
349,-0.967
350,0.355
351,-0.967
352,0.355
353,-0.967
354,0.355
355,-0.967
356,0.355
357,-0.967
358,0.355
359,-0.967
360,0.355
361,-0.967
362,0.355
363,-0.967
364,0.355
365,-0.967
366,0.355
367,-0.967
368,0.355
369,-0.967
370,0.355
371,-0.967
372,0.355
373,-0.967
374,0.355
375,-0.967
376,0.355
377,-0.967
378,0.355
379,-0.967
380,0.355
381,-0.967
382,0.355
383,-0.967
384,-0.216
385,0.495
386,-0.216
387,0.495
388,-0.216
389,0.495
390,-0.216
391,0.495
392,-0.216
393,0.495
394,-0.216
395,0.495
396,-0.216
397,0.495
398,-0.216
399,0.495
400,-0.216
401,0.495
402,-0.216
403,0.495
404,-0.216
405,0.495
406,-0.216
407,0.495
408,-0.216
409,0.495
410,-0.216
411,0.495
412,-0.216
413,0.495
414,-0.216
415,0.495
416,-0.216
417,0.495
418,-0.216
419,0.495
420,-0.216
421,0.495
422,-0.216
423,0.495
424,-0.216
425,0.495
426,-0.216
427,0.495
428,-0.216
429,0.495
430,-0.216
431,0.495
432,-0.216
433,0.495
434,-0.216
435,0.495
436,-0.216
437,0.495
438,-0.216
439,0.495
440,-0.216
441,0.495
442,-0.216
443,0.495
444,-0.216
445,0.495
446,-0.216
447,0.495
448,-0.216
449,0.495
450,-0.216
451,0.495
452,-0.216
453,0.495
454,-0.216
455,0.495
456,-0.216
457,0.495
458,-0.216
459,0.495
460,-0.216
461,0.495
462,-0.216
463,0.495
464,-0.216
465,0.495
466,-0.216
467,0.495
468,-0.216
469,0.495
470,-0.216
471,0.495
472,-0.216
473,0.495
474,-0.216
475,0.495
476,-0.216
477,0.495
478,-0.216
479,0.495
480,-0.216
481,0.495
482,-0.216
483,0.495
484,-0.216
485,0.495
486,-0.216
487,0.495
488,-0.216
489,0.495
490,-0.216
491,0.495
492,-0.216
493,0.495
494,-0.216
495,0.495
496,-0.216
497,0.495
498,-0.216
499,0.495
500,-0.216
501,0.495
502,-0.216
503,0.495
504,-0.216
505,0.495
506,-0.216
507,0.495
508,-0.216
509,0.495
510,-0.216
511,0.495
512,0.058
513,1.161
514,0.058
515,1.161
516,0.058
517,1.161
518,0.058
519,1.161
520,0.058
521,1.161
522,0.058
523,1.161
524,0.058
525,1.161
526,0.058
527,1.161
528,0.058
529,1.161
530,0.058
531,1.161
532,0.058
533,1.161
534,0.058
535,1.161
536,0.058
537,1.161
538,0.058
539,1.161
540,0.058
541,1.161
542,0.058
543,1.161
544,0.058
545,1.161
546,0.058
547,1.161
548,0.058
549,1.161
550,0.058
551,1.161
552,0.058
553,1.161
554,0.058
555,1.161
556,0.058
557,1.161
558,0.058
559,1.161
560,0.058
561,1.161
562,0.058
563,1.161
564,0.058
565,1.161
566,0.058
567,1.161
568,0.058
569,1.161
570,0.058
571,1.161
572,0.058
573,1.161
574,0.058
575,1.161
576,0.058
577,1.161
578,0.058
579,1.161
580,0.058
581,1.161
582,0.058
583,1.161
584,0.058
585,1.161
586,0.058
587,1.161
588,0.058
589,1.161
590,0.058
591,1.161
592,0.058
593,1.161
594,0.058
595,1.161
596,0.058
597,1.161
598,0.058
599,1.161
600,0.058
601,1.161
602,0.058
603,1.161
604,0.058
605,1.161
606,0.058
607,1.161
608,0.058
609,1.161
610,0.058
611,1.161
612,0.058
613,1.161
614,0.058
615,1.161
616,0.058
617,1.161
618,0.058
619,1.161
620,0.058
621,1.161
622,0.058
623,1.161
624,0.058
625,1.161
626,0.058
627,1.161
628,0.058
629,1.161
630,0.058
631,1.161
632,0.058
633,1.161
634,0.058
635,1.161
636,0.058
637,1.161
638,0.058
639,1.161
640,-0.131
641,-1.227
642,-0.131
643,-1.227
644,-0.131
645,-1.227
646,-0.131
647,-1.227
648,-0.131
649,-1.227
650,-0.131
651,-1.227
652,-0.131
653,-1.227
654,-0.131
655,-1.227
656,-0.131
657,-1.227
658,-0.131
659,-1.227
660,-0.131
661,-1.227
662,-0.131
663,-1.227
664,-0.131
665,-1.227
666,-0.131
667,-1.227
668,-0.131
669,-1.227
670,-0.131
671,-1.227
672,-0.131
673,-1.227
674,-0.131
675,-1.227
676,-0.131
677,-1.227
678,-0.131
679,-1.227
680,-0.131
681,-1.227
682,-0.131
683,-1.227
684,-0.131
685,-1.227
686,-0.131
687,-1.227
688,-0.131
689,-1.227
690,-0.131
691,-1.227
692,-0.131
693,-1.227
694,-0.131
695,-1.227
696,-0.131
697,-1.227
698,-0.131
699,-1.227
700,-0.131
701,-1.227
702,-0.131
703,-1.227
704,-0.131
705,-1.227
706,-0.131
707,-1.227
708,-0.131
709,-1.227
710,-0.131
711,-1.227
712,-0.131
713,-1.227
714,-0.131
715,-1.227
716,-0.131
717,-1.227
718,-0.131
719,-1.227
720,-0.131
721,-1.227
722,-0.131
723,-1.227
724,-0.131
725,-1.227
726,-0.131
727,-1.227
728,-0.131
729,-1.227
730,-0.131
731,-1.227
732,-0.131
733,-1.227
734,-0.131
735,-1.227
736,-0.131
737,-1.227
738,-0.131
739,-1.227
740,-0.131
741,-1.227
742,-0.131
743,-1.227
744,-0.131
745,-1.227
746,-0.131
747,-1.227
748,-0.131
749,-1.227
750,-0.131
751,-1.227
752,-0.131
753,-1.227
754,-0.131
755,-1.227
756,-0.131
757,-1.227
758,-0.131
759,-1.227
760,-0.131
761,-1.227
762,-0.131
763,-1.227
764,-0.131
765,-1.227
766,-0.131
767,-1.227
768,2.712
769,-0.960
770,2.712
771,-0.960
772,2.712
773,-0.960
774,2.712
775,-0.960
776,2.712
777,-0.960
778,2.712
779,-0.960
780,2.712
781,-0.960
782,2.712
783,-0.960
784,2.712
785,-0.960
786,2.712
787,-0.960
788,2.712
789,-0.960
790,2.712
791,-0.960
792,2.712
793,-0.960
794,2.712
795,-0.960
796,2.712
797,-0.960
798,2.712
799,-0.960
800,2.712
801,-0.960
802,2.712
803,-0.960
804,2.712
805,-0.960
806,2.712
807,-0.960
808,2.712
809,-0.960
810,2.712
811,-0.960
812,2.712
813,-0.960
814,2.712
815,-0.960
816,2.712
817,-0.960
818,2.712
819,-0.960
820,2.712
821,-0.960
822,2.712
823,-0.960
824,2.712
825,-0.960
826,2.712
827,-0.960
828,2.712
829,-0.960
830,2.712
831,-0.960
832,2.712
833,-0.960
834,2.712
835,-0.960
836,2.712
837,-0.960
838,2.712
839,-0.960
840,2.712
841,-0.960
842,2.712
843,-0.960
844,2.712
845,-0.960
846,2.712
847,-0.960
848,2.712
849,-0.960
850,2.712
851,-0.960
852,2.712
853,-0.960
854,2.712
855,-0.960
856,2.712
857,-0.960
858,2.712
859,-0.960
860,2.712
861,-0.960
862,2.712
863,-0.960
864,2.712
865,-0.960
866,2.712
867,-0.960
868,2.712
869,-0.960
870,2.712
871,-0.960
872,2.712
873,-0.960
874,2.712
875,-0.960
876,2.712
877,-0.960
878,2.712
879,-0.960
880,2.712
881,-0.960
882,2.712
883,-0.960
884,2.712
885,-0.960
886,2.712
887,-0.960
888,2.712
889,-0.960
890,2.712
891,-0.960
892,2.712
893,-0.960
894,2.712
895,-0.960
896,-0.191
897,-2.174
898,-0.191
899,-2.174
900,-0.191
901,-2.174
902,-0.191
903,-2.174
904,-0.191
905,-2.174
906,-0.191
907,-2.174
908,-0.191
909,-2.174
910,-0.191
911,-2.174
912,-0.191
913,-2.174
914,-0.191
915,-2.174
916,-0.191
917,-2.174
918,-0.191
919,-2.174
920,-0.191
921,-2.174
922,-0.191
923,-2.174
924,-0.191
925,-2.174
926,-0.191
927,-2.174
928,-0.191
929,-2.174
930,-0.191
931,-2.174
932,-0.191
933,-2.174
934,-0.191
935,-2.174
936,-0.191
937,-2.174
938,-0.191
939,-2.174
940,-0.191
941,-2.174
942,-0.191
943,-2.174
944,-0.191
945,-2.174
946,-0.191
947,-2.174
948,-0.191
949,-2.174
950,-0.191
951,-2.174
952,-0.191
953,-2.174
954,-0.191
955,-2.174
956,-0.191
957,-2.174
958,-0.191
959,-2.174
960,-0.191
961,-2.174
962,-0.191
963,-2.174
964,-0.191
965,-2.174
966,-0.191
967,-2.174
968,-0.191
969,-2.174
970,-0.191
971,-2.174
972,-0.191
973,-2.174
974,-0.191
975,-2.174
976,-0.191
977,-2.174
978,-0.191
979,-2.174
980,-0.191
981,-2.174
982,-0.191
983,-2.174
984,-0.191
985,-2.174
986,-0.191
987,-2.174
988,-0.191
989,-2.174
990,-0.191
991,-2.174
992,-0.191
993,-2.174
994,-0.191
995,-2.174
996,-0.191
997,-2.174
998,-0.191
999,-2.174
1000,-0.191
1001,-2.174
1002,-0.191
