TABLE CRVTime 1200-1204 1206-1299
#22016 channels, sigma: 1.0, limitlow: -3.0, limithigh: 3.0
#channel,timeOffset
0,0.407
1,0.588
2,0.407
3,0.588
4,0.407
5,0.588
6,0.407
7,0.588
8,0.407
9,0.588
10,0.407
11,0.588
12,0.407
13,0.588
14,0.407
15,0.588
16,0.407
17,0.588
18,0.407
19,0.588
20,0.407
21,0.588
22,0.407
23,0.588
24,0.407
25,0.588
26,0.407
27,0.588
28,0.407
29,0.588
30,0.407
31,0.588
32,0.407
33,0.588
34,0.407
35,0.588
36,0.407
37,0.588
38,0.407
39,0.588
40,0.407
41,0.588
42,0.407
43,0.588
44,0.407
45,0.588
46,0.407
47,0.588
48,0.407
49,0.588
50,0.407
51,0.588
52,0.407
53,0.588
54,0.407
55,0.588
56,0.407
57,0.588
58,0.407
59,0.588
60,0.407
61,0.588
62,0.407
63,0.588
64,0.407
65,0.588
66,0.407
67,0.588
68,0.407
69,0.588
70,0.407
71,0.588
72,0.407
73,0.588
74,0.407
75,0.588
76,0.407
77,0.588
78,0.407
79,0.588
80,0.407
81,0.588
82,0.407
83,0.588
84,0.407
85,0.588
86,0.407
87,0.588
88,0.407
89,0.588
90,0.407
91,0.588
92,0.407
93,0.588
94,0.407
95,0.588
96,0.407
97,0.588
98,0.407
99,0.588
100,0.407
101,0.588
102,0.407
103,0.588
104,0.407
105,0.588
106,0.407
107,0.588
108,0.407
109,0.588
110,0.407
111,0.588
112,0.407
113,0.588
114,0.407
115,0.588
116,0.407
117,0.588
118,0.407
119,0.588
120,0.407
121,0.588
122,0.407
123,0.588
124,0.407
125,0.588
126,0.407
127,0.588
128,-0.954
129,0.036
130,-0.954
131,0.036
132,-0.954
133,0.036
134,-0.954
135,0.036
136,-0.954
137,0.036
138,-0.954
139,0.036
140,-0.954
141,0.036
142,-0.954
143,0.036
144,-0.954
145,0.036
146,-0.954
147,0.036
148,-0.954
149,0.036
150,-0.954
151,0.036
152,-0.954
153,0.036
154,-0.954
155,0.036
156,-0.954
157,0.036
158,-0.954
159,0.036
160,-0.954
161,0.036
162,-0.954
163,0.036
164,-0.954
165,0.036
166,-0.954
167,0.036
168,-0.954
169,0.036
170,-0.954
171,0.036
172,-0.954
173,0.036
174,-0.954
175,0.036
176,-0.954
177,0.036
178,-0.954
179,0.036
180,-0.954
181,0.036
182,-0.954
183,0.036
184,-0.954
185,0.036
186,-0.954
187,0.036
188,-0.954
189,0.036
190,-0.954
191,0.036
192,-0.954
193,0.036
194,-0.954
195,0.036
196,-0.954
197,0.036
198,-0.954
199,0.036
200,-0.954
201,0.036
202,-0.954
203,0.036
204,-0.954
205,0.036
206,-0.954
207,0.036
208,-0.954
209,0.036
210,-0.954
211,0.036
212,-0.954
213,0.036
214,-0.954
215,0.036
216,-0.954
217,0.036
218,-0.954
219,0.036
220,-0.954
221,0.036
222,-0.954
223,0.036
224,-0.954
225,0.036
226,-0.954
227,0.036
228,-0.954
229,0.036
230,-0.954
231,0.036
232,-0.954
233,0.036
234,-0.954
235,0.036
236,-0.954
237,0.036
238,-0.954
239,0.036
240,-0.954
241,0.036
242,-0.954
243,0.036
244,-0.954
245,0.036
246,-0.954
247,0.036
248,-0.954
249,0.036
250,-0.954
251,0.036
252,-0.954
253,0.036
254,-0.954
255,0.036
256,0.657
257,1.849
258,0.657
259,1.849
260,0.657
261,1.849
262,0.657
263,1.849
264,0.657
265,1.849
266,0.657
267,1.849
268,0.657
269,1.849
270,0.657
271,1.849
272,0.657
273,1.849
274,0.657
275,1.849
276,0.657
277,1.849
278,0.657
279,1.849
280,0.657
281,1.849
282,0.657
283,1.849
284,0.657
285,1.849
286,0.657
287,1.849
288,0.657
