TABLE CRVTime
#21376 channels, sigma: 1.0, limitlow: -3.0, limithigh: 3.0
#channel,timeOffset
0,0.706
1,-1.433
2,0.706
3,-1.433
4,0.706
5,-1.433
6,0.706
7,-1.433
8,0.706
9,-1.433
10,0.706
11,-1.433
12,0.706
13,-1.433
14,0.706
15,-1.433
16,0.706
17,-1.433
18,0.706
19,-1.433
20,0.706
21,-1.433
22,0.706
23,-1.433
24,0.706
25,-1.433
26,0.706
27,-1.433
28,0.706
29,-1.433
30,0.706
31,-1.433
32,0.706
33,-1.433
34,0.706
35,-1.433
36,0.706
37,-1.433
38,0.706
39,-1.433
40,0.706
41,-1.433
42,0.706
43,-1.433
44,0.706
45,-1.433
46,0.706
47,-1.433
48,0.706
49,-1.433
50,0.706
51,-1.433
52,0.706
53,-1.433
54,0.706
55,-1.433
56,0.706
57,-1.433
58,0.706
59,-1.433
60,0.706
61,-1.433
62,0.706
63,-1.433
64,0.706
65,-1.433
66,0.706
67,-1.433
68,0.706
69,-1.433
70,0.706
71,-1.433
72,0.706
73,-1.433
74,0.706
75,-1.433
76,0.706
77,-1.433
78,0.706
79,-1.433
80,0.706
81,-1.433
82,0.706
83,-1.433
84,0.706
85,-1.433
86,0.706
87,-1.433
88,0.706
89,-1.433
90,0.706
91,-1.433
92,0.706
93,-1.433
94,0.706
95,-1.433
96,0.706
97,-1.433
98,0.706
99,-1.433
100,0.706
101,-1.433
102,0.706
103,-1.433
104,0.706
105,-1.433
106,0.706
107,-1.433
108,0.706
109,-1.433
110,0.706
111,-1.433
112,0.706
113,-1.433
114,0.706
115,-1.433
116,0.706
117,-1.433
118,0.706
119,-1.433
120,0.706
121,-1.433
122,0.706
123,-1.433
124,0.706
125,-1.433
126,0.706
127,-1.433
128,-0.780
129,0.425
130,-0.780
131,0.425
132,-0.780
133,0.425
134,-0.780
135,0.425
136,-0.780
137,0.425
138,-0.780
139,0.425
140,-0.780
141,0.425
142,-0.780
143,0.425
144,-0.780
145,0.425
146,-0.780
147,0.425
148,-0.780
149,0.425
150,-0.780
151,0.425
152,-0.780
153,0.425
154,-0.780
155,0.425
156,-0.780
157,0.425
158,-0.780
159,0.425
160,-0.780
161,0.425
162,-0.780
163,0.425
164,-0.780
165,0.425
166,-0.780
167,0.425
168,-0.780
169,0.425
170,-0.780
171,0.425
172,-0.780
173,0.425
174,-0.780
175,0.425
176,-0.780
177,0.425
178,-0.780
179,0.425
180,-0.780
181,0.425
182,-0.780
183,0.425
184,-0.780
185,0.425
186,-0.780
187,0.425
188,-0.780
189,0.425
190,-0.780
191,0.425
192,-0.780
193,0.425
194,-0.780
195,0.425
196,-0.780
197,0.425
198,-0.780
199,0.425
200,-0.780
201,0.425
202,-0.780
203,0.425
204,-0.780
205,0.425
206,-0.780
207,0.425
208,-0.780
209,0.425
210,-0.780
211,0.425
212,-0.780
213,0.425
214,-0.780
215,0.425
216,-0.780
217,0.425
218,-0.780
219,0.425
220,-0.780
221,0.425
222,-0.780
223,0.425
224,-0.780
225,0.425
226,-0.780
227,0.425
228,-0.780
229,0.425
230,-0.780
231,0.425
232,-0.780
233,0.425
234,-0.780
235,0.425
236,-0.780
237,0.425
238,-0.780
239,0.425
240,-0.780
241,0.425
242,-0.780
243,0.425
244,-0.780
245,0.425
246,-0.780
247,0.425
248,-0.780
249,0.425
250,-0.780
251,0.425
252,-0.780
253,0.425
254,-0.780
255,0.425
256,-1.500
257,-1.384
258,-1.500
259,-1.384
260,-1.500
261,-1.384
262,-1.500
263,-1.384
264,-1.500
265,-1.384
266,-1.500
267,-1.384
268,-1.500
269,-1.384
270,-1.500
271,-1.384
272,-1.500
273,-1.384
274,-1.500
275,-1.384
276,-1.500
277,-1.384
278,-1.500
279,-1.384
280,-1.500
281,-1.384
282,-1.500
283,-1.384
284,-1.500
285,-1.384
286,-1.500
287,-1.384
288,-1.500
289,-1.384
290,-1.500
291,-1.384
292,-1.500
293,-1.384
294,-1.500
295,-1.384
296,-1.500
297,-1.384
298,-1.500
299,-1.384
300,-1.500
301,-1.384
302,-1.500
303,-1.384
304,-1.500
305,-1.384
306,-1.500
307,-1.384
308,-1.500
309,-1.384
310,-1.500
311,-1.384
312,-1.500
313,-1.384
314,-1.500
315,-1.384
316,-1.500
317,-1.384
318,-1.500
319,-1.384
320,-1.500
321,-1.384
322,-1.500
323,-1.384
324,-1.500
325,-1.384
326,-1.500
327,-1.384
328,-1.500
329,-1.384
330,-1.500
331,-1.384
332,-1.500
333,-1.384
334,-1.500
335,-1.384
336,-1.500
337,-1.384
338,-1.500
339,-1.384
340,-1.500
341,-1.384
342,-1.500
343,-1.384
344,-1.500
345,-1.384
346,-1.500
347,-1.384
348,-1.500
349,-1.384
350,-1.500
351,-1.384
352,-1.500
353,-1.384
354,-1.500
355,-1.384
356,-1.500
357,-1.384
358,-1.500
359,-1.384
360,-1.500
361,-1.384
362,-1.500
363,-1.384
364,-1.500
365,-1.384
366,-1.500
367,-1.384
368,-1.500
369,-1.384
370,-1.500
371,-1.384
372,-1.500
373,-1.384
374,-1.500
375,-1.384
376,-1.500
377,-1.384
378,-1.500
379,-1.384
380,-1.500
381,-1.384
382,-1.500
383,-1.384
384,0.591
385,-1.216
386,0.591
387,-1.216
388,0.591
389,-1.216
390,0.591
391,-1.216
392,0.591
393,-1.216
394,0.591
395,-1.216
396,0.591
397,-1.216
398,0.591
399,-1.216
400,0.591
401,-1.216
402,0.591
403,-1.216
404,0.591
405,-1.216
406,0.591
