TABLE CRVTime
#5120 channels, sigma: 1.0, limitlow: -3.0, limithigh: 3.0
#channel,timeOffset
0,1.279
1,1.065
2,1.279
3,1.065
4,1.279
5,1.065
6,1.279
7,1.065
8,1.279
9,1.065
10,1.279
11,1.065
12,1.279
13,1.065
14,1.279
15,1.065
16,1.279
17,1.065
18,1.279
19,1.065
20,1.279
21,1.065
22,1.279
23,1.065
24,1.279
25,1.065
26,1.279
27,1.065
28,1.279
29,1.065
30,1.279
31,1.065
32,1.279
33,1.065
34,1.279
35,1.065
36,1.279
37,1.065
38,1.279
39,1.065
40,1.279
41,1.065
42,1.279
43,1.065
44,1.279
45,1.065
46,1.279
47,1.065
48,1.279
49,1.065
50,1.279
51,1.065
52,1.279
53,1.065
54,1.279
55,1.065
56,1.279
57,1.065
58,1.279
59,1.065
60,1.279
61,1.065
62,1.279
63,1.065
64,1.279
65,1.065
66,1.279
67,1.065
68,1.279
69,1.065
70,1.279
71,1.065
72,1.279
73,1.065
74,1.279
75,1.065
76,1.279
77,1.065
78,1.279
79,1.065
80,1.279
81,1.065
82,1.279
83,1.065
84,1.279
85,1.065
86,1.279
87,1.065
88,1.279
89,1.065
90,1.279
91,1.065
92,1.279
93,1.065
94,1.279
95,1.065
96,1.279
97,1.065
98,1.279
99,1.065
100,1.279
101,1.065
102,1.279
103,1.065
104,1.279
105,1.065
106,1.279
107,1.065
108,1.279
109,1.065
110,1.279
111,1.065
112,1.279
113,1.065
114,1.279
115,1.065
116,1.279
117,1.065
118,1.279
119,1.065
120,1.279
121,1.065
122,1.279
123,1.065
124,1.279
125,1.065
126,1.279
127,1.065
128,0.246
129,-0.084
130,0.246
131,-0.084
132,0.246
133,-0.084
134,0.246
135,-0.084
136,0.246
137,-0.084
138,0.246
139,-0.084
140,0.246
141,-0.084
142,0.246
143,-0.084
144,0.246
145,-0.084
146,0.246
147,-0.084
148,0.246
149,-0.084
150,0.246
151,-0.084
152,0.246
153,-0.084
154,0.246
155,-0.084
156,0.246
157,-0.084
158,0.246
159,-0.084
160,0.246
161,-0.084
162,0.246
163,-0.084
164,0.246
165,-0.084
166,0.246
167,-0.084
168,0.246
169,-0.084
170,0.246
171,-0.084
172,0.246
173,-0.084
174,0.246
175,-0.084
176,0.246
177,-0.084
178,0.246
179,-0.084
180,0.246
181,-0.084
182,0.246
183,-0.084
184,0.246
185,-0.084
186,0.246
187,-0.084
188,0.246
189,-0.084
190,0.246
191,-0.084
192,0.246
193,-0.084
194,0.246
195,-0.084
196,0.246
197,-0.084
198,0.246
199,-0.084
200,0.246
201,-0.084
202,0.246
203,-0.084
204,0.246
205,-0.084
206,0.246
207,-0.084
208,0.246
209,-0.084
210,0.246
211,-0.084
212,0.246
213,-0.084
214,0.246
215,-0.084
216,0.246
217,-0.084
218,0.246
219,-0.084
220,0.246
221,-0.084
222,0.246
223,-0.084
224,0.246
225,-0.084
226,0.246
227,-0.084
228,0.246
229,-0.084
230,0.246
231,-0.084
232,0.246
233,-0.084
234,0.246
235,-0.084
236,0.246
237,-0.084
238,0.246
239,-0.084
240,0.246
241,-0.084
242,0.246
243,-0.084
244,0.246
245,-0.084
246,0.246
247,-0.084
248,0.246
249,-0.084
250,0.246
251,-0.084
252,0.246
