TABLE CRVSiPM
#channel, pedestal, calibPulseHeight, calibPulseArea
0,4.01386,20.6777,569.815
1,0,-1,-1
2,-10.8588,21.0845,589.823
3,0,-1,-1
4,1.09951,22.3208,609.804
5,0,-1,-1
6,12.2193,20.8749,589.823
7,0,-1,-1
8,-13.4149,21.5223,589.823
9,0,-1,-1
10,9.86069,21.7099,609.804
11,0,-1,-1
12,3.42582,21.9865,609.804
13,0,-1,-1
14,13.8907,22.0593,609.804
15,0,-1,-1
16,-8.09859,20.0115,549.815
17,0,-1,-1
18,-24.8949,21.025,609.804
19,0,-1,-1
20,7.49692,22.269,589.823
21,0,-1,-1
22,9.42875,22.3819,609.804
23,0,-1,-1
24,8.76094,22.3512,609.804
25,0,-1,-1
26,-10.2194,22.4917,629.822
27,0,-1,-1
28,5.44924,21.7692,569.815
29,0,-1,-1
30,17.8039,20.3689,569.815
31,0,-1,-1
32,0,-1,-1
33,0,-1,-1
34,0,-1,-1
35,0,-1,-1
36,0,-1,-1
37,0,-1,-1
38,0,-1,-1
39,0,-1,-1
40,0,-1,-1
41,0,-1,-1
42,0,-1,-1
43,0,-1,-1
44,0,-1,-1
45,0,-1,-1
46,0,-1,-1
47,0,-1,-1
48,0,-1,-1
49,0,-1,-1
50,0,-1,-1
51,0,-1,-1
52,0,-1,-1
53,0,-1,-1
54,0,-1,-1
55,0,-1,-1
56,0,-1,-1
57,0,-1,-1
58,0,-1,-1
59,0,-1,-1
60,0,-1,-1
61,0,-1,-1
62,0,-1,-1
63,0,-1,-1
64,-11.6192,18.3132,509.823
65,0,-1,-1
66,-5.44441,18.5799,529.83
67,0,-1,-1
68,-4.63323,19.2887,529.83
69,0,-1,-1
70,8.4949,19.2877,509.823
71,0,-1,-1
72,-13.5304,19.8637,549.815
73,0,-1,-1
74,4.76444,18.9594,529.83
75,0,-1,-1
76,5.50292,18.7345,529.83
77,0,-1,-1
78,-9.7377,18.8284,509.823
79,0,-1,-1
80,-8.77698,18.5132,489.825
81,0,-1,-1
82,-2.56613,17.9108,509.823
83,0,-1,-1
84,-2.66848,18.3345,509.823
85,0,-1,-1
86,2.50173,18.7601,529.83
87,0,-1,-1
88,5.61624,18.5861,509.823
89,0,-1,-1
90,-10.3795,18.915,509.823
91,0,-1,-1
92,-9.42448,17.526,489.825
93,0,-1,-1
94,8.47693,19.3508,529.83
95,0,-1,-1
96,0,-1,-1
97,0,-1,-1
98,0,-1,-1
99,0,-1,-1
100,0,-1,-1
101,0,-1,-1
102,0,-1,-1
103,0,-1,-1
104,0,-1,-1
105,0,-1,-1
106,0,-1,-1
107,0,-1,-1
108,0,-1,-1
109,0,-1,-1
110,0,-1,-1
111,0,-1,-1
112,0,-1,-1
113,0,-1,-1
114,0,-1,-1
115,0,-1,-1
116,0,-1,-1
117,0,-1,-1
118,0,-1,-1
119,0,-1,-1
120,0,-1,-1
121,0,-1,-1
122,0,-1,-1
123,0,-1,-1
124,0,-1,-1
125,0,-1,-1
126,0,-1,-1
127,0,-1,-1
128,-2.68653,19.4176,529.83
129,0,-1,-1
130,1.74607,19.7421,529.83
131,0,-1,-1
132,3.46661,18.9987,529.83
133,0,-1,-1
134,-6.27156,19.6917,549.815
135,0,-1,-1
136,9.23327,19.2346,529.83
137,0,-1,-1
138,-2.1101,20.6515,569.815
139,0,-1,-1
140,0.237487,19.533,549.815
141,0,-1,-1
142,-22.7922,20.2928,549.815
143,0,-1,-1
144,-1.20447,22.4674,649.817
145,0,-1,-1
146,-7.04785,22.7212,649.817
147,0,-1,-1
148,-7.64115,24.225,669.821
149,0,-1,-1
150,-6.04622,25.0034,669.821
151,0,-1,-1
152,-7.06972,22.7106,669.821
153,0,-1,-1
154,3.0208,23.4917,669.821
155,0,-1,-1
156,-7.98596,23.4159,649.817
157,0,-1,-1
158,-3.475,24.1214,669.821
159,0,-1,-1
160,0,-1,-1
161,0,-1,-1
162,0,-1,-1
163,0,-1,-1
164,0,-1,-1
165,0,-1,-1
166,0,-1,-1
167,0,-1,-1
168,0,-1,-1
169,0,-1,-1
170,0,-1,-1
171,0,-1,-1
172,0,-1,-1
173,0,-1,-1
174,0,-1,-1
175,0,-1,-1
176,0,-1,-1
177,0,-1,-1
178,0,-1,-1
179,0,-1,-1
180,0,-1,-1
181,0,-1,-1
182,0,-1,-1
183,0,-1,-1
184,0,-1,-1
185,0,-1,-1
186,0,-1,-1
187,0,-1,-1
188,0,-1,-1
189,0,-1,-1
190,0,-1,-1
191,0,-1,-1
