TABLE CRVTime
#channel,timeOffset
0,-0.186
1,0.000
2,-0.186
3,0.000
4,-0.186
5,0.000
6,-0.186
7,0.000
8,-0.186
9,0.000
10,-0.186
11,0.000
12,-0.186
13,0.000
14,-0.186
15,0.000
16,-0.186
17,0.000
18,-0.186
19,0.000
20,-0.186
21,0.000
22,-0.186
23,0.000
24,-0.186
25,0.000
26,-0.186
27,0.000
28,-0.186
29,0.000
30,-0.186
31,0.000
32,-0.186
33,0.000
34,-0.186
35,0.000
36,-0.186
37,0.000
38,-0.186
39,0.000
40,-0.186
41,0.000
42,-0.186
43,0.000
44,-0.186
45,0.000
46,-0.186
47,0.000
48,-0.186
49,0.000
50,-0.186
51,0.000
52,-0.186
53,0.000
54,-0.186
55,0.000
56,-0.186
57,0.000
58,-0.186
59,0.000
60,-0.186
61,0.000
62,-0.186
63,0.000
64,-0.186
65,0.000
66,-0.186
67,0.000
68,-0.186
69,0.000
70,-0.186
71,0.000
72,-0.186
73,0.000
74,-0.186
75,0.000
76,-0.186
77,0.000
78,-0.186
79,0.000
80,-0.186
81,0.000
82,-0.186
83,0.000
84,-0.186
85,0.000
86,-0.186
87,0.000
88,-0.186
89,0.000
90,-0.186
91,0.000
92,-0.186
93,0.000
94,-0.186
95,0.000
96,-0.186
97,0.000
98,-0.186
99,0.000
100,-0.186
101,0.000
102,-0.186
103,0.000
104,-0.186
105,0.000
106,-0.186
107,0.000
108,-0.186
109,0.000
110,-0.186
111,0.000
112,-0.186
113,0.000
114,-0.186
115,0.000
116,-0.186
117,0.000
118,-0.186
119,0.000
120,-0.186
121,0.000
122,-0.186
123,0.000
124,-0.186
125,0.000
126,-0.186
127,0.000
128,1.922
129,0.000
130,1.922
131,0.000
132,1.922
133,0.000
134,1.922
135,0.000
136,1.922
137,0.000
138,1.922
139,0.000
140,1.922
141,0.000
142,1.922
143,0.000
144,1.922
145,0.000
146,1.922
147,0.000
148,1.922
149,0.000
150,1.922
151,0.000
152,1.922
153,0.000
154,1.922
155,0.000
156,1.922
157,0.000
158,1.922
159,0.000
160,1.922
161,0.000
162,1.922
163,0.000
164,1.922
165,0.000
166,1.922
167,0.000
168,1.922
169,0.000
170,1.922
171,0.000
172,1.922
173,0.000
174,1.922
175,0.000
176,1.922
177,0.000
178,1.922
179,0.000
180,1.922
181,0.000
182,1.922
183,0.000
184,1.922
185,0.000
186,1.922
187,0.000
188,1.922
189,0.000
190,1.922
191,0.000
192,1.922
193,0.000
194,1.922
195,0.000
196,1.922
197,0.000
198,1.922
199,0.000
200,1.922
201,0.000
202,1.922
203,0.000
204,1.922
205,0.000
206,1.922
207,0.000
208,1.922
209,0.000
210,1.922
211,0.000
212,1.922
213,0.000
214,1.922
215,0.000
216,1.922
217,0.000
218,1.922
219,0.000
220,1.922
221,0.000
222,1.922
223,0.000
224,1.922
225,0.000
226,1.922
227,0.000
228,1.922
229,0.000
230,1.922
231,0.000
232,1.922
233,0.000
234,1.922
235,0.000
236,1.922
237,0.000
238,1.922
239,0.000
240,1.922
241,0.000
242,1.922
243,0.000
244,1.922
245,0.000
246,1.922
247,0.000
248,1.922
249,0.000
250,1.922
251,0.000
252,1.922
253,0.000
254,1.922
255,0.000
256,0.439
257,0.000
258,0.439
259,0.000
260,0.439
261,0.000
262,0.439
263,0.000
264,0.439
265,0.000
266,0.439
267,0.000
268,0.439
269,0.000
270,0.439
271,0.000
272,0.439
273,0.000
274,0.439
275,0.000
276,0.439
277,0.000
278,0.439
279,0.000
280,0.439
281,0.000
282,0.439
283,0.000
284,0.439
285,0.000
286,0.439
287,0.000
288,0.439
289,0.000
290,0.439
291,0.000
292,0.439
293,0.000
294,0.439
295,0.000
296,0.439
297,0.000
298,0.439
299,0.000
300,0.439
301,0.000
302,0.439
303,0.000
304,0.439
305,0.000
306,0.439
307,0.000
308,0.439
309,0.000
310,0.439
311,0.000
312,0.439
313,0.000
314,0.439
315,0.000
316,0.439
317,0.000
318,0.439
319,0.000
320,0.439
321,0.000
322,0.439
323,0.000
324,0.439
325,0.000
326,0.439
327,0.000
328,0.439
329,0.000
330,0.439
331,0.000
332,0.439
333,0.000
334,0.439
335,0.000
336,0.439
337,0.000
338,0.439
339,0.000
340,0.439
341,0.000
342,0.439
343,0.000
344,0.439
345,0.000
346,0.439
347,0.000
348,0.439
349,0.000
350,0.439
351,0.000
352,0.439
353,0.000
354,0.439
355,0.000
356,0.439
357,0.000
358,0.439
359,0.000
360,0.439
361,0.000
362,0.439
363,0.000
364,0.439
365,0.000
366,0.439
367,0.000
368,0.439
369,0.000
370,0.439
371,0.000
372,0.439
373,0.000
374,0.439
375,0.000
376,0.439
377,0.000
378,0.439
379,0.000
380,0.439
381,0.000
382,0.439
383,0.000
384,0.110
385,0.000
386,0.110
387,0.000
