TABLE CRVTime
#1032 channels, sigma: 1.0, limitlow: -3.0, limithigh: 3.0
#channel,timeOffset
0,-0.817
1,-0.590
2,-0.817
3,-0.590
4,-0.817
5,-0.590
6,-0.817
7,-0.590
8,-0.817
9,-0.590
10,-0.817
11,-0.590
12,-0.817
13,-0.590
14,-0.817
15,-0.590
16,-0.817
17,-0.590
18,-0.817
19,-0.590
20,-0.817
21,-0.590
22,-0.817
23,-0.590
24,-0.817
25,-0.590
26,-0.817
27,-0.590
28,-0.817
29,-0.590
30,-0.817
31,-0.590
32,-0.817
33,-0.590
34,-0.817
35,-0.590
36,-0.817
37,-0.590
38,-0.817
39,-0.590
40,-0.817
41,-0.590
42,-0.817
43,-0.590
44,-0.817
45,-0.590
46,-0.817
47,-0.590
48,-0.817
49,-0.590
50,-0.817
51,-0.590
52,-0.817
53,-0.590
54,-0.817
55,-0.590
56,-0.817
57,-0.590
58,-0.817
59,-0.590
60,-0.817
61,-0.590
62,-0.817
63,-0.590
64,-0.817
65,-0.590
66,-0.817
67,-0.590
68,-0.817
69,-0.590
70,-0.817
71,-0.590
72,-0.817
73,-0.590
74,-0.817
75,-0.590
76,-0.817
77,-0.590
78,-0.817
79,-0.590
80,-0.817
81,-0.590
82,-0.817
83,-0.590
84,-0.817
85,-0.590
86,-0.817
87,-0.590
88,-0.817
89,-0.590
90,-0.817
91,-0.590
92,-0.817
93,-0.590
94,-0.817
95,-0.590
96,-0.817
97,-0.590
98,-0.817
99,-0.590
100,-0.817
101,-0.590
102,-0.817
103,-0.590
104,-0.817
105,-0.590
106,-0.817
107,-0.590
108,-0.817
109,-0.590
110,-0.817
111,-0.590
112,-0.817
113,-0.590
114,-0.817
115,-0.590
116,-0.817
117,-0.590
118,-0.817
119,-0.590
120,-0.817
121,-0.590
122,-0.817
123,-0.590
124,-0.817
125,-0.590
126,-0.817
127,-0.590
128,0.363
129,0.783
130,0.363
131,0.783
132,0.363
133,0.783
134,0.363
135,0.783
136,0.363
137,0.783
138,0.363
139,0.783
140,0.363
141,0.783
142,0.363
143,0.783
144,0.363
145,0.783
146,0.363
147,0.783
148,0.363
149,0.783
150,0.363
151,0.783
152,0.363
153,0.783
154,0.363
155,0.783
156,0.363
157,0.783
158,0.363
159,0.783
160,0.363
161,0.783
162,0.363
163,0.783
