TABLE CRVTime
#912 channels, sigma: 1.0, limitlow: -3.0, limithigh: 3.0
#channel,timeOffset
0,-0.750
1,0.000
2,-0.750
3,0.000
4,-0.750
5,0.000
6,-0.750
7,0.000
8,-0.750
9,0.000
10,-0.750
11,0.000
12,-0.750
13,0.000
14,-0.750
15,0.000
16,-0.750
17,0.000
18,-0.750
19,0.000
20,-0.750
21,0.000
22,-0.750
23,0.000
24,-0.750
25,0.000
26,-0.750
27,0.000
28,-0.750
29,0.000
30,-0.750
31,0.000
32,-0.750
33,0.000
34,-0.750
35,0.000
36,-0.750
37,0.000
38,-0.750
39,0.000
40,-0.750
41,0.000
42,-0.750
43,0.000
44,-0.750
45,0.000
46,-0.750
47,0.000
48,-0.750
49,0.000
50,-0.750
51,0.000
52,-0.750
53,0.000
54,-0.750
55,0.000
56,-0.750
57,0.000
58,-0.750
59,0.000
60,-0.750
61,0.000
62,-0.750
63,0.000
64,-0.750
65,0.000
66,-0.750
67,0.000
68,-0.750
69,0.000
70,-0.750
71,0.000
72,-0.750
73,0.000
74,-0.750
75,0.000
76,-0.750
77,0.000
78,-0.750
79,0.000
80,-0.750
81,0.000
82,-0.750
83,0.000
84,-0.750
85,0.000
86,-0.750
87,0.000
88,-0.750
89,0.000
90,-0.750
91,0.000
92,-0.750
93,0.000
94,-0.750
95,0.000
96,-0.750
97,0.000
98,-0.750
99,0.000
100,-0.750
101,0.000
102,-0.750
103,0.000
104,-0.750
105,0.000
106,-0.750
107,0.000
108,-0.750
109,0.000
110,-0.750
111,0.000
112,-0.750
113,0.000
114,-0.750
115,0.000
116,-0.750
117,0.000
118,-0.750
119,0.000
120,-0.750
121,0.000
122,-0.750
123,0.000
124,-0.750
125,0.000
126,-0.750
127,0.000
128,-0.289
129,0.000
130,-0.289
131,0.000
132,-0.289
133,0.000
134,-0.289
135,0.000
136,-0.289
137,0.000
138,-0.289
139,0.000
140,-0.289
141,0.000
142,-0.289
143,0.000
144,-0.289
145,0.000
146,-0.289
147,0.000
148,-0.289
149,0.000
150,-0.289
151,0.000
152,-0.289
153,0.000
154,-0.289
155,0.000
156,-0.289
157,0.000
158,-0.289
159,0.000
160,-0.289
161,0.000
162,-0.289
163,0.000
164,-0.289
165,0.000
166,-0.289
167,0.000
168,-0.289
169,0.000
170,-0.289
171,0.000
172,-0.289
173,0.000
174,-0.289
175,0.000
176,-0.289
177,0.000
178,-0.289
179,0.000
180,-0.289
181,0.000
182,-0.289
183,0.000
184,-0.289
185,0.000
186,-0.289
187,0.000
188,-0.289
189,0.000
190,-0.289
191,0.000
192,-0.289
193,0.000
194,-0.289
195,0.000
196,-0.289
197,0.000
198,-0.289
199,0.000
200,-0.289
201,0.000
202,-0.289
203,0.000
204,-0.289
205,0.000
206,-0.289
207,0.000
208,-0.289
209,0.000
210,-0.289
211,0.000
212,-0.289
213,0.000
214,-0.289
215,0.000
216,-0.289
217,0.000
218,-0.289
219,0.000
220,-0.289
221,0.000
222,-0.289
223,0.000
224,-0.289
225,0.000
226,-0.289
227,0.000
228,-0.289
229,0.000
230,-0.289
231,0.000
232,-0.289
233,0.000
234,-0.289
235,0.000
236,-0.289
237,0.000
238,-0.289
239,0.000
240,-0.289
241,0.000
242,-0.289
243,0.000
244,-0.289
245,0.000
246,-0.289
247,0.000
248,-0.289
249,0.000
250,-0.289
251,0.000
252,-0.289
253,0.000
254,-0.289
255,0.000
256,1.547
257,0.000
258,1.547
259,0.000
260,1.547
261,0.000
262,1.547
263,0.000
264,1.547
265,0.000
266,1.547
267,0.000
268,1.547
269,0.000
270,1.547
271,0.000
272,1.547
273,0.000
274,1.547
275,0.000
276,1.547
277,0.000
278,1.547
279,0.000
280,1.547
281,0.000
282,1.547
283,0.000
284,1.547
285,0.000
286,1.547
287,0.000
288,1.547
289,0.000
290,1.547
291,0.000
292,1.547
293,0.000
294,1.547
295,0.000
296,1.547
297,0.000
298,1.547
299,0.000
300,1.547
301,0.000
302,1.547
303,0.000
304,1.547
305,0.000
306,1.547
307,0.000
308,1.547
309,0.000
310,1.547
311,0.000
312,1.547
313,0.000
314,1.547
315,0.000
316,1.547
317,0.000
318,1.547
319,0.000
320,1.547
321,0.000
322,1.547
323,0.000
324,1.547
325,0.000
326,1.547
327,0.000
328,1.547
329,0.000
330,1.547
331,0.000
332,1.547
333,0.000
334,1.547
335,0.000
336,1.547
337,0.000
338,1.547
339,0.000
340,1.547
341,0.000
342,1.547
343,0.000
344,1.547
345,0.000
346,1.547
347,0.000
348,1.547
349,0.000
350,1.547
351,0.000
352,1.547
353,0.000
354,1.547
355,0.000
356,1.547
357,0.000
358,1.547
359,0.000
360,1.547
361,0.000
362,1.547
363,0.000
364,1.547
365,0.000
366,1.547
367,0.000
368,1.547
369,0.000
370,1.547
371,0.000
372,1.547
373,0.000
374,1.547
375,0.000
376,1.547
377,0.000
378,1.547
379,0.000
380,1.547
381,0.000
382,1.547
383,0.000
384,0.009
385,0.000
386,0.009
387,0.000
388,0.009
389,0.000
390,0.009
391,0.000
392,0.009
393,0.000
394,0.009
395,0.000
396,0.009
397,0.000
398,0.009
399,0.000
400,0.009
401,0.000
402,0.009
403,0.000
404,0.009
405,0.000
406,0.009
407,0.000
408,0.009
409,0.000
410,0.009
411,0.000
412,0.009
413,0.000
414,0.009
415,0.000
