Channel	ROC	FEB	FEBchannel
0	1	1	0
1	1	3	0
2	1	1	1
3	1	3	1
4	1	1	2
5	1	3	2
6	1	1	3
7	1	3	3
8	1	1	4
9	1	3	4
10	1	1	5
11	1	3	5
12	1	1	6
13	1	3	6
14	1	1	7
15	1	3	7
16	1	1	8
17	1	3	8
18	1	1	9
19	1	3	9
20	1	1	10
21	1	3	10
22	1	1	11
23	1	3	11
24	1	1	12
25	1	3	12
26	1	1	13
27	1	3	13
28	1	1	14
29	1	3	14
30	1	1	15
31	1	3	15
32	1	1	16
33	1	3	16
34	1	1	17
35	1	3	17
36	1	1	18
37	1	3	18
38	1	1	19
39	1	3	19
40	1	1	20
41	1	3	20
42	1	1	21
43	1	3	21
44	1	1	22
45	1	3	22
46	1	1	23
47	1	3	23
48	1	1	24
49	1	3	24
50	1	1	25
51	1	3	25
52	1	1	26
53	1	3	26
54	1	1	27
55	1	3	27
56	1	1	28
57	1	3	28
58	1	1	29
59	1	3	29
60	1	1	30
61	1	3	30
62	1	1	31
63	1	3	31
64	1	1	32
65	1	3	32
66	1	1	33
67	1	3	33
68	1	1	34
69	1	3	34
70	1	1	35
71	1	3	35
72	1	1	36
73	1	3	36
74	1	1	37
75	1	3	37
76	1	1	38
77	1	3	38
78	1	1	39
79	1	3	39
80	1	1	40
81	1	3	40
82	1	1	41
83	1	3	41
84	1	1	42
85	1	3	42
86	1	1	43
87	1	3	43
88	1	1	44
89	1	3	44
90	1	1	45
91	1	3	45
92	1	1	46
93	1	3	46
94	1	1	47
95	1	3	47
96	1	1	48
97	1	3	48
98	1	1	49
99	1	3	49
100	1	1	50
101	1	3	50
102	1	1	51
103	1	3	51
104	1	1	52
105	1	3	52
106	1	1	53
107	1	3	53
108	1	1	54
109	1	3	54
110	1	1	55
111	1	3	55
112	1	1	56
113	1	3	56
114	1	1	57
115	1	3	57
116	1	1	58
117	1	3	58
118	1	1	59
119	1	3	59
120	1	1	60
121	1	3	60
122	1	1	61
123	1	3	61
124	1	1	62
125	1	3	62
126	1	1	63
127	1	3	63
128	1	2	0
129	1	4	0
130	1	2	1
131	1	4	1
132	1	2	2
133	1	4	2
134	1	2	3
135	1	4	3
136	1	2	4
137	1	4	4
138	1	2	5
139	1	4	5
140	1	2	6
141	1	4	6
142	1	2	7
143	1	4	7
144	1	2	8
145	1	4	8
146	1	2	9
147	1	4	9
148	1	2	10
149	1	4	10
150	1	2	11
151	1	4	11
152	1	2	12
153	1	4	12
154	1	2	13
155	1	4	13
156	1	2	14
157	1	4	14
158	1	2	15
159	1	4	15
160	1	2	16
161	1	4	16
162	1	2	17
163	1	4	17
164	1	2	18
165	1	4	18
166	1	2	19
167	1	4	19
168	1	2	20
169	1	4	20
170	1	2	21
171	1	4	21
172	1	2	22
173	1	4	22
174	1	2	23
175	1	4	23
176	1	2	24
177	1	4	24
178	1	2	25
179	1	4	25
180	1	2	26
181	1	4	26
182	1	2	27
183	1	4	27
184	1	2	28
185	1	4	28
186	1	2	29
187	1	4	29
188	1	2	30
189	1	4	30
190	1	2	31
191	1	4	31
192	1	2	32
193	1	4	32
194	1	2	33
195	1	4	33
196	1	2	34
197	1	4	34
198	1	2	35
199	1	4	35
200	1	2	36
201	1	4	36
202	1	2	37
203	1	4	37
204	1	2	38
205	1	4	38
206	1	2	39
207	1	4	39
208	1	2	40
209	1	4	40
210	1	2	41
211	1	4	41
212	1	2	42
213	1	4	42
214	1	2	43
215	1	4	43
216	1	2	44
217	1	4	44
218	1	2	45
219	1	4	45
220	1	2	46
221	1	4	46
222	1	2	47
223	1	4	47
224	1	2	48
225	1	4	48
226	1	2	49
227	1	4	49
228	1	2	50
229	1	4	50
230	1	2	51
231	1	4	51
232	1	2	52
233	1	4	52
234	1	2	53
235	1	4	53
236	1	2	54
237	1	4	54
238	1	2	55
239	1	4	55
240	1	2	56
241	1	4	56
242	1	2	57
243	1	4	57
244	1	2	58
245	1	4	58
246	1	2	59
247	1	4	59
248	1	2	60
249	1	4	60
250	1	2	61
251	1	4	61
252	1	2	62
253	1	4	62
254	1	2	63
255	1	4	63
256	1	5	0
257	1	7	0
258	1	5	1
259	1	7	1
260	1	5	2
261	1	7	2
262	1	5	3
263	1	7	3
264	1	5	4
265	1	7	4
266	1	5	5
267	1	7	5
268	1	5	6
269	1	7	6
270	1	5	7
271	1	7	7
272	1	5	8
273	1	7	8
274	1	5	9
275	1	7	9
276	1	5	10
277	1	7	10
278	1	5	11
279	1	7	11
280	1	5	12
281	1	7	12
282	1	5	13
283	1	7	13
284	1	5	14
285	1	7	14
286	1	5	15
287	1	7	15
288	1	5	16
289	1	7	16
290	1	5	17
291	1	7	17
292	1	5	18
293	1	7	18
294	1	5	19
295	1	7	19
296	1	5	20
297	1	7	20
298	1	5	21
299	1	7	21
300	1	5	22
301	1	7	22
302	1	5	23
303	1	7	23
304	1	5	24
305	1	7	24
306	1	5	25
307	1	7	25
308	1	5	26
309	1	7	26
310	1	5	27
311	1	7	27
312	1	5	28
313	1	7	28
314	1	5	29
315	1	7	29
316	1	5	30
317	1	7	30
318	1	5	31
319	1	7	31
320	1	5	32
321	1	7	32
322	1	5	33
323	1	7	33
324	1	5	34
325	1	7	34
326	1	5	35
327	1	7	35
328	1	5	36
329	1	7	36
330	1	5	37
331	1	7	37
332	1	5	38
333	1	7	38
334	1	5	39
335	1	7	39
336	1	5	40
337	1	7	40
338	1	5	41
339	1	7	41
340	1	5	42
341	1	7	42
342	1	5	43
343	1	7	43
344	1	5	44
345	1	7	44
346	1	5	45
347	1	7	45
348	1	5	46
349	1	7	46
350	1	5	47
351	1	7	47
352	1	5	48
353	1	7	48
354	1	5	49
355	1	7	49
356	1	5	50
357	1	7	50
358	1	5	51
359	1	7	51
360	1	5	52
361	1	7	52
362	1	5	53
363	1	7	53
364	1	5	54
365	1	7	54
366	1	5	55
367	1	7	55
368	1	5	56
369	1	7	56
370	1	5	57
371	1	7	57
372	1	5	58
373	1	7	58
374	1	5	59
375	1	7	59
376	1	5	60
377	1	7	60
378	1	5	61
379	1	7	61
380	1	5	62
381	1	7	62
382	1	5	63
383	1	7	63
384	1	6	0
385	1	8	0
386	1	6	1
387	1	8	1
388	1	6	2
389	1	8	2
390	1	6	3
391	1	8	3
392	1	6	4
393	1	8	4
394	1	6	5
395	1	8	5
396	1	6	6
397	1	8	6
398	1	6	7
399	1	8	7
400	1	6	8
401	1	8	8
402	1	6	9
403	1	8	9
404	1	6	10
405	1	8	10
406	1	6	11
407	1	8	11
408	1	6	12
409	1	8	12
410	1	6	13
411	1	8	13
412	1	6	14
413	1	8	14
414	1	6	15
415	1	8	15
416	1	6	16
417	1	8	16
418	1	6	17
419	1	8	17
420	1	6	18
421	1	8	18
422	1	6	19
423	1	8	19
424	1	6	20
425	1	8	20
426	1	6	21
427	1	8	21
428	1	6	22
429	1	8	22
430	1	6	23
431	1	8	23
432	1	6	24
433	1	8	24
434	1	6	25
435	1	8	25
436	1	6	26
437	1	8	26
438	1	6	27
439	1	8	27
440	1	6	28
441	1	8	28
442	1	6	29
443	1	8	29
444	1	6	30
445	1	8	30
446	1	6	31
447	1	8	31
448	1	6	32
449	1	8	32
450	1	6	33
451	1	8	33
452	1	6	34
453	1	8	34
454	1	6	35
455	1	8	35
456	1	6	36
457	1	8	36
458	1	6	37
459	1	8	37
460	1	6	38
461	1	8	38
462	1	6	39
463	1	8	39
464	1	6	40
465	1	8	40
466	1	6	41
467	1	8	41
468	1	6	42
469	1	8	42
470	1	6	43
471	1	8	43
472	1	6	44
473	1	8	44
474	1	6	45
475	1	8	45
476	1	6	46
477	1	8	46
478	1	6	47
479	1	8	47
480	1	6	48
481	1	8	48
482	1	6	49
483	1	8	49
484	1	6	50
485	1	8	50
486	1	6	51
487	1	8	51
488	1	6	52
489	1	8	52
490	1	6	53
491	1	8	53
492	1	6	54
493	1	8	54
494	1	6	55
495	1	8	55
496	1	6	56
497	1	8	56
498	1	6	57
499	1	8	57
500	1	6	58
501	1	8	58
502	1	6	59
503	1	8	59
504	1	6	60
505	1	8	60
506	1	6	61
507	1	8	61
508	1	6	62
509	1	8	62
510	1	6	63
511	1	8	63
512	1	9	0
513	1	11	0
514	1	9	1
515	1	11	1
516	1	9	2
517	1	11	2
518	1	9	3
519	1	11	3
520	1	9	4
521	1	11	4
522	1	9	5
523	1	11	5
524	1	9	6
525	1	11	6
526	1	9	7
527	1	11	7
528	1	9	8
529	1	11	8
530	1	9	9
531	1	11	9
532	1	9	10
533	1	11	10
534	1	9	11
535	1	11	11
536	1	9	12
537	1	11	12
538	1	9	13
539	1	11	13
540	1	9	14
541	1	11	14
542	1	9	15
543	1	11	15
544	1	9	16
545	1	11	16
546	1	9	17
547	1	11	17
548	1	9	18
549	1	11	18
550	1	9	19
551	1	11	19
552	1	9	20
553	1	11	20
554	1	9	21
555	1	11	21
556	1	9	22
557	1	11	22
558	1	9	23
559	1	11	23
560	1	9	24
561	1	11	24
562	1	9	25
563	1	11	25
564	1	9	26
565	1	11	26
566	1	9	27
567	1	11	27
568	1	9	28
569	1	11	28
570	1	9	29
571	1	11	29
572	1	9	30
573	1	11	30
574	1	9	31
575	1	11	31
576	1	9	32
577	1	11	32
578	1	9	33
579	1	11	33
580	1	9	34
581	1	11	34
582	1	9	35
583	1	11	35
584	1	9	36
585	1	11	36
586	1	9	37
587	1	11	37
588	1	9	38
589	1	11	38
590	1	9	39
591	1	11	39
592	1	9	40
593	1	11	40
594	1	9	41
595	1	11	41
596	1	9	42
597	1	11	42
598	1	9	43
599	1	11	43
600	1	9	44
601	1	11	44
602	1	9	45
603	1	11	45
604	1	9	46
605	1	11	46
606	1	9	47
607	1	11	47
608	1	9	48
609	1	11	48
610	1	9	49
611	1	11	49
612	1	9	50
613	1	11	50
614	1	9	51
615	1	11	51
616	1	9	52
617	1	11	52
618	1	9	53
619	1	11	53
620	1	9	54
621	1	11	54
622	1	9	55
623	1	11	55
624	1	9	56
625	1	11	56
626	1	9	57
627	1	11	57
628	1	9	58
629	1	11	58
630	1	9	59
631	1	11	59
632	1	9	60
633	1	11	60
634	1	9	61
635	1	11	61
636	1	9	62
637	1	11	62
638	1	9	63
639	1	11	63
640	1	10	0
641	1	12	0
642	1	10	1
643	1	12	1
644	1	10	2
645	1	12	2
646	1	10	3
647	1	12	3
648	1	10	4
649	1	12	4
650	1	10	5
651	1	12	5
652	1	10	6
653	1	12	6
654	1	10	7
655	1	12	7
656	1	10	8
657	1	12	8
658	1	10	9
659	1	12	9
660	1	10	10
661	1	12	10
662	1	10	11
663	1	12	11
664	1	10	12
665	1	12	12
666	1	10	13
667	1	12	13
668	1	10	14
669	1	12	14
670	1	10	15
671	1	12	15
672	1	10	16
673	1	12	16
674	1	10	17
675	1	12	17
676	1	10	18
677	1	12	18
678	1	10	19
679	1	12	19
680	1	10	20
681	1	12	20
682	1	10	21
683	1	12	21
684	1	10	22
685	1	12	22
686	1	10	23
687	1	12	23
688	1	10	24
689	1	12	24
690	1	10	25
691	1	12	25
692	1	10	26
693	1	12	26
694	1	10	27
695	1	12	27
696	1	10	28
697	1	12	28
698	1	10	29
699	1	12	29
700	1	10	30
701	1	12	30
702	1	10	31
703	1	12	31
704	1	10	32
705	1	12	32
706	1	10	33
707	1	12	33
708	1	10	34
709	1	12	34
710	1	10	35
711	1	12	35
712	1	10	36
713	1	12	36
714	1	10	37
715	1	12	37
716	1	10	38
717	1	12	38
718	1	10	39
719	1	12	39
720	1	10	40
721	1	12	40
722	1	10	41
723	1	12	41
724	1	10	42
725	1	12	42
726	1	10	43
727	1	12	43
728	1	10	44
729	1	12	44
730	1	10	45
731	1	12	45
732	1	10	46
733	1	12	46
734	1	10	47
735	1	12	47
736	1	10	48
737	1	12	48
738	1	10	49
739	1	12	49
740	1	10	50
741	1	12	50
742	1	10	51
743	1	12	51
744	1	10	52
745	1	12	52
746	1	10	53
747	1	12	53
748	1	10	54
749	1	12	54
750	1	10	55
751	1	12	55
752	1	10	56
753	1	12	56
754	1	10	57
755	1	12	57
756	1	10	58
757	1	12	58
758	1	10	59
759	1	12	59
760	1	10	60
761	1	12	60
762	1	10	61
763	1	12	61
764	1	10	62
765	1	12	62
766	1	10	63
767	1	12	63
768	1	13	0
769	1	15	0
770	1	13	1
771	1	15	1
772	1	13	2
773	1	15	2
774	1	13	3
775	1	15	3
776	1	13	4
777	1	15	4
778	1	13	5
779	1	15	5
780	1	13	6
781	1	15	6
782	1	13	7
783	1	15	7
784	1	13	8
785	1	15	8
786	1	13	9
787	1	15	9
788	1	13	10
789	1	15	10
790	1	13	11
791	1	15	11
792	1	13	12
793	1	15	12
794	1	13	13
795	1	15	13
796	1	13	14
797	1	15	14
798	1	13	15
799	1	15	15
800	1	13	16
801	1	15	16
802	1	13	17
