TABLE CRVPhoton 1205
#2048 channels, sigma: 0.05, limitlow: -0.2, limithigh: 0.2
#channel,photonYieldDeviation
0,-0.009
1,0.040
2,0.008
3,0.052
4,0.052
5,-0.076
6,0.070
7,0.066
8,-0.073
9,0.062
10,0.043
11,0.029
12,-0.015
13,0.071
14,0.015
15,-0.033
16,0.103
17,0.031
18,0.098
19,0.018
20,-0.067
21,0.013
22,-0.030
23,0.005
24,-0.026
25,-0.053
26,-0.010
27,-0.013
28,0.089
29,0.084
30,-0.079
31,-0.032
32,0.009
33,-0.076
34,0.009
35,0.108
36,-0.060
37,-0.015
38,-0.099
39,-0.110
40,-0.023
41,-0.105
42,-0.008
43,-0.017
44,-0.087
45,0.006
46,0.057
47,0.031
48,0.030
49,-0.046
50,-0.037
51,-0.009
52,-0.037
53,-0.010
54,0.130
55,0.008
56,-0.024
57,0.043
58,-0.002
59,-0.021
60,-0.017
61,-0.038
62,-0.024
63,0.045
64,0.070
65,-0.050
66,0.007
67,-0.073
68,0.013
69,0.025
70,0.021
71,-0.085
72,-0.059
73,-0.073
74,-0.017
75,-0.025
76,-0.012
77,0.035
78,0.045
79,-0.010
80,0.053
81,0.006
82,0.046
83,0.044
84,-0.039
85,-0.058
86,-0.003
87,-0.030
88,-0.053
89,0.063
90,-0.012
91,0.046
92,0.051
93,-0.055
94,-0.008
95,0.077
96,-0.079
97,-0.037
98,0.042
99,0.028
100,-0.017
101,-0.029
102,-0.067
103,-0.016
104,-0.039
105,0.007
106,0.004
107,-0.021
108,-0.011
109,0.047
110,-0.065
111,0.027
112,-0.010
113,-0.021
114,0.025
115,0.039
116,0.008
117,-0.040
118,-0.097
119,0.107
120,0.066
121,-0.004
122,0.012
123,-0.074
124,-0.066
125,-0.020
126,0.050
127,-0.041
128,0.006
129,0.027
130,-0.061
131,-0.005
132,-0.101
133,0.021
134,-0.013
135,0.074
136,-0.006
137,0.004
138,0.024
139,-0.089
140,0.019
141,0.028
142,0.000
143,-0.050
144,-0.093
145,0.065
146,-0.096
147,0.072
148,0.019
149,-0.035
150,-0.017
151,0.055
152,-0.042
153,-0.038
154,0.049
155,0.044
156,0.047
157,0.085
158,-0.010
159,-0.023
160,0.052
161,-0.120
162,-0.015
163,0.021
164,-0.006
165,0.031
166,-0.040
167,0.048
168,-0.059
169,0.005
170,-0.059
171,0.034
172,0.010
173,-0.076
174,-0.099
175,0.059
176,-0.008
177,-0.020
178,0.026
179,-0.022
180,0.003
181,0.073
182,0.062
183,0.075
184,-0.019
185,-0.069
186,0.116
187,0.074
188,0.027
189,-0.020
190,-0.031
191,-0.032
192,0.054
193,0.072
194,-0.031
195,0.013
196,-0.049
197,0.107
198,0.094
199,-0.020
200,0.072
201,-0.037
202,-0.048
203,-0.112
204,-0.028
205,-0.066
206,0.040
207,0.003
208,-0.048
209,0.023
210,-0.057
211,0.043
212,0.010
213,-0.047
214,0.042
215,0.022
216,-0.005
217,-0.030
218,-0.075
219,0.074
220,0.043
221,-0.001
222,0.070
223,-0.046
224,0.028
225,0.025
226,-0.068
227,-0.025
228,-0.014
229,0.069
230,-0.040
231,-0.017
232,-0.116
233,0.017
234,-0.021
235,-0.052
236,-0.017
237,-0.007
238,0.033
239,-0.060
240,0.022
241,-0.011
242,0.044
243,0.045
244,-0.048
245,-0.109
246,-0.005
247,0.081
248,0.015
249,-0.083
250,-0.051
251,0.088
252,0.041
253,0.027
254,0.047
255,-0.002
256,-0.050
257,0.033
258,0.021
259,0.101
260,0.107
261,-0.017
262,-0.019
263,-0.029
264,0.034
265,-0.037
266,-0.029
267,-0.060
268,0.031
269,0.067
270,-0.072
271,-0.118
272,0.041
273,-0.068
274,-0.043
275,0.093
276,0.061
277,-0.007
278,-0.052
279,-0.096
280,-0.056
281,-0.029
282,0.051
283,-0.039
284,0.028
285,-0.072
286,-0.025
287,0.024
288,-0.045
289,0.013
290,-0.026
291,-0.047
292,-0.080
293,-0.001
294,0.046
295,-0.030
296,-0.011
297,-0.008
298,-0.071
299,-0.062
300,-0.018
301,0.063
302,-0.041
303,0.035
304,0.024
305,-0.007
306,-0.001
307,0.004
308,0.018
309,0.023
310,0.020
311,-0.046
312,-0.102
313,-0.078
314,0.010
315,-0.033
316,0.004
317,0.000
318,-0.062
319,0.027
320,-0.023
321,-0.033
322,-0.055
323,0.008
324,-0.005
325,0.021
326,-0.030
