TABLE CRVPhoton
#2304 channels, sigma: 0.05, limitlow: -0.2, limithigh: 0.2
#channel,photonYieldDeviation
0,0.051
1,-0.056
2,-0.014
3,0.000
4,0.014
5,-0.027
6,0.012
7,0.072
8,-0.076
9,-0.020
10,0.048
11,0.098
12,0.023
13,0.032
14,-0.019
15,0.049
16,0.009
17,-0.047
18,-0.031
19,0.044
20,-0.012
21,0.003
22,0.045
23,-0.009
24,-0.015
25,-0.007
26,0.045
27,0.051
28,0.051
29,-0.037
30,-0.079
31,0.022
32,-0.137
33,0.068
34,-0.077
35,0.052
36,-0.024
37,0.050
38,0.059
39,-0.034
40,0.033
41,0.043
42,0.030
43,-0.004
44,-0.012
45,-0.024
46,-0.069
47,0.123
48,0.000
49,0.033
50,-0.030
51,0.072
52,-0.057
53,0.037
54,0.002
55,-0.047
56,0.130
57,0.029
58,0.069
59,0.002
60,0.021
61,0.001
62,-0.025
63,-0.108
64,-0.025
65,-0.081
66,-0.048
67,-0.042
68,0.040
69,0.004
70,-0.014
71,-0.098
72,-0.063
73,-0.076
74,0.001
75,0.080
76,-0.088
77,-0.044
78,-0.071
79,-0.042
80,0.086
81,0.060
82,-0.038
83,0.038
84,0.067
85,0.045
86,-0.110
87,0.051
88,0.017
89,-0.009
90,-0.081
91,0.024
92,-0.002
93,0.022
94,0.097
95,-0.002
96,-0.072
97,-0.039
98,-0.043
99,-0.017
100,0.005
101,0.040
102,0.029
103,-0.054
104,-0.052
105,0.012
106,-0.109
107,0.054
108,0.037
109,0.076
110,0.022
111,0.009
112,0.004
113,0.008
114,-0.034
115,0.043
116,0.000
117,0.042
118,0.049
119,0.027
120,0.018
121,0.006
122,-0.020
123,-0.013
124,-0.024
125,-0.031
126,0.057
127,0.029
128,-0.046
129,-0.006
130,0.061
131,0.021
132,0.032
133,-0.113
134,0.021
135,-0.076
136,-0.003
137,0.031
138,0.012
139,-0.076
140,-0.022
141,-0.003
142,-0.037
143,0.016
144,0.006
145,0.058
146,0.059
147,-0.019
148,-0.053
149,-0.018
150,-0.067
151,0.016
152,0.018
153,-0.027
154,-0.127
155,-0.023
156,-0.023
157,-0.062
158,0.091
159,0.001
160,0.016
161,-0.086
162,-0.007
163,-0.016
164,0.026
165,-0.031
166,0.020
167,-0.068
168,0.018
169,-0.008
170,-0.005
171,0.013
172,0.085
173,0.046
174,0.007
175,-0.025
176,-0.011
177,-0.055
178,0.002
179,0.013
180,0.010
181,-0.008
182,-0.088
183,0.093
184,0.022
185,0.009
186,0.077
187,-0.024
188,-0.072
189,-0.044
190,-0.045
191,-0.066
192,-0.021
193,-0.025
194,0.069
195,-0.024
196,-0.022
197,0.018
198,0.054
199,-0.010
200,0.133
201,-0.052
202,0.007
203,-0.008
204,0.008
205,-0.067
206,-0.014
207,-0.071
208,0.102
209,0.023
210,0.068
211,0.031
212,0.102
213,-0.024
214,0.013
215,-0.036
216,-0.075
217,-0.044
218,-0.068
219,-0.061
220,-0.051
221,-0.027
222,-0.038
223,-0.037
224,0.011
225,-0.034
226,0.092
227,-0.000
228,0.057
229,0.025
230,0.018
231,0.002
232,-0.020
233,-0.041
234,-0.045
235,0.018
236,-0.053
237,-0.021
238,0.010
239,-0.080
240,0.029
241,0.090
242,-0.047
243,0.002
244,-0.059
245,0.004
246,0.064
247,0.012
248,-0.155
249,-0.003
250,-0.010
251,-0.085
252,-0.008
253,-0.071
