TABLE CRVPhoton 1202
#channel,photonYieldDeviation
0,1.303
1,0.744
2,-0.248
3,0.632
4,-0.121
5,-0.458
6,-1.668
7,-0.466
8,-0.180
9,0.237
10,-1.459
11,0.962
12,0.327
13,-2.363
14,-0.640
15,-1.676
16,-0.272
17,0.307
18,0.650
19,0.556
20,-1.288
21,0.679
22,0.703
23,0.272
24,0.373
25,2.568
26,-1.941
27,-0.924
28,-0.441
29,1.688
30,-0.806
31,0.055
32,0.566
33,-0.385
34,-1.176
35,-0.268
36,-0.679
37,-0.731
38,-1.712
39,0.693
40,-0.906
41,-0.988
42,0.965
43,-0.248
44,-0.439
45,1.440
46,-0.205
47,-0.805
48,-1.197
49,0.536
50,-0.732
51,0.466
52,0.442
53,0.445
54,1.713
55,1.229
56,-0.580
57,0.064
58,0.818
59,-0.349
60,-0.009
61,0.291
62,0.168
63,-0.743
64,0.662
65,-1.789
66,0.697
67,-0.585
68,-1.270
69,1.471
70,0.600
71,-0.006
72,-0.172
73,-1.079
74,-0.364
75,0.075
76,0.526
77,-1.129
78,0.642
79,-0.920
80,-0.869
81,-1.556
82,-0.162
83,-0.748
84,-0.375
85,0.391
86,1.123
87,-0.188
88,1.731
89,0.535
90,0.204
91,-1.218
92,-1.092
93,-0.844
94,1.227
95,-1.009
96,-0.488
97,-1.046
98,-1.061
99,1.096
100,0.822
101,-0.808
102,-1.223
103,-0.466
104,0.510
105,0.139
106,0.243
107,-1.364
108,-0.478
109,0.407
110,-0.246
111,0.821
112,-1.138
113,-0.450
114,1.031
115,0.375
116,0.692
117,0.552
118,1.591
119,0.523
120,-1.460
121,0.907
122,0.231
123,0.139
124,0.149
125,0.373
126,0.702
127,-0.598
128,-0.822
129,-0.249
130,0.406
131,-0.849
132,1.089
133,1.037
134,0.572
135,-0.258
136,0.724
137,-0.220
138,-0.655
139,1.875
140,1.017
141,0.708
142,0.373
143,-0.429
144,-0.091
145,1.136
146,-1.182
147,0.005
148,0.608
149,-0.710
150,1.015
151,-0.657
152,0.397
153,0.130
154,-0.561
155,-0.113
