TABLE CRVPhoton
#21376 channels, sigma: 0.05, limitlow: -0.2, limithigh: 0.2
#channel,photonYieldDeviation
0,0.086
1,0.029
2,0.130
3,-0.036
4,0.024
5,0.064
6,-0.069
7,-0.053
8,-0.179
9,-0.031
10,-0.046
11,0.128
12,0.037
13,-0.025
14,0.017
15,0.050
16,-0.013
17,-0.023
18,0.040
19,0.101
20,-0.003
21,0.092
22,0.022
23,0.058
24,0.010
25,-0.016
26,-0.023
27,0.082
28,0.062
29,-0.043
30,-0.014
31,0.047
32,0.031
33,0.007
34,0.042
35,-0.079
36,-0.032
37,0.105
38,0.015
39,0.006
40,-0.022
41,0.041
42,0.007
43,-0.003
44,-0.007
45,0.039
46,-0.107
47,0.005
48,-0.072
49,0.014
50,0.054
51,-0.034
52,-0.010
53,-0.025
54,0.036
55,-0.031
56,0.059
57,0.084
58,0.003
59,-0.029
60,0.052
61,-0.019
62,0.074
63,0.009
64,0.081
65,-0.073
66,0.051
67,-0.041
68,-0.048
69,-0.089
70,0.038
71,0.003
72,-0.028
73,-0.082
74,0.021
75,-0.018
76,-0.090
77,0.003
78,0.001
79,0.043
80,0.018
81,-0.016
82,-0.049
83,-0.019
84,0.100
85,-0.034
86,0.033
87,-0.019
88,0.049
89,-0.024
90,-0.016
91,0.014
92,0.006
93,0.084
94,-0.017
95,-0.020
96,0.058
97,0.010
98,0.045
99,-0.035
100,0.064
101,-0.008
102,0.038
103,-0.009
104,0.043
105,0.091
106,0.031
107,-0.105
108,-0.087
109,-0.050
110,-0.039
111,-0.089
112,-0.049
113,0.012
114,-0.115
115,-0.009
116,0.062
117,0.033
118,0.010
119,0.032
120,0.022
121,-0.011
122,0.017
123,0.037
124,0.054
125,0.067
126,0.048
127,-0.056
128,-0.017
129,-0.032
130,-0.006
131,0.093
132,0.041
133,0.101
134,-0.041
135,0.013
136,0.006
137,0.051
138,0.037
139,-0.026
140,-0.060
141,0.064
142,-0.051
143,0.055
144,-0.044
145,-0.045
146,-0.052
147,0.018
148,-0.011
149,-0.012
150,0.048
151,0.063
152,0.024
153,0.002
154,-0.109
155,0.089
156,0.019
157,0.033
158,0.088
159,-0.081
160,-0.102
161,0.011
162,-0.015
163,0.098
164,-0.102
165,-0.092
166,0.055
167,0.038
168,0.044
169,0.029
170,0.033
171,0.155
172,-0.019
173,0.094
174,-0.015
175,-0.032
176,-0.003
177,-0.044
178,0.074
179,0.039
180,-0.010
181,-0.079
182,0.013
183,-0.038
