TABLE CRVPhoton
#5120 channels, sigma: 0.05, limitlow: -0.2, limithigh: 0.2
#channel,photonYieldDeviation
0,0.007
1,0.070
2,0.006
3,0.035
4,0.053
5,0.043
6,0.055
7,-0.053
8,0.116
9,0.073
10,-0.009
11,0.043
12,-0.039
13,-0.002
14,-0.011
15,0.030
16,0.000
17,0.088
18,-0.073
19,0.026
20,-0.062
21,0.010
22,0.015
23,0.111
24,-0.026
25,0.028
26,0.031
27,-0.072
28,0.039
29,0.058
30,-0.034
31,0.073
32,-0.028
33,-0.056
34,-0.008
35,0.022
36,0.002
37,-0.059
38,-0.040
39,-0.019
40,0.005
41,0.004
42,0.034
43,-0.091
44,0.030
45,0.033
46,-0.054
47,0.030
48,-0.036
49,-0.032
50,0.065
51,-0.015
52,-0.066
53,0.012
54,0.024
55,-0.101
56,-0.028
57,-0.027
58,-0.030
59,-0.050
60,0.006
61,-0.043
62,-0.004
63,-0.002
64,0.081
65,0.027
66,0.014
67,-0.028
68,0.056
69,0.051
70,0.037
71,0.020
72,-0.075
73,0.012
74,-0.009
75,-0.052
76,-0.059
77,-0.000
78,0.014
79,0.005
80,-0.063
81,-0.033
82,0.018
83,0.033
84,-0.034
85,-0.013
86,-0.012
87,0.096
88,0.057
89,0.077
90,0.106
91,0.026
92,0.022
93,-0.082
94,-0.075
95,-0.091
96,-0.114
97,-0.004
98,-0.032
99,0.081
100,0.025
101,-0.009
102,-0.062
103,-0.035
104,0.002
105,0.057
106,-0.016
107,0.029
108,-0.016
109,0.025
110,-0.002
111,-0.083
112,-0.039
113,0.096
114,-0.000
115,0.055
116,-0.001
117,-0.026
118,-0.048
119,-0.007
120,-0.020
121,0.040
122,-0.031
123,0.032
124,0.054
125,-0.049
126,-0.049
127,0.045
128,-0.041
129,-0.009
130,-0.003
131,-0.063
132,-0.085
133,-0.054
134,0.063
135,0.026
136,0.043
137,-0.001
138,0.027
139,-0.016
140,0.064
141,-0.048
142,0.055
143,0.041
144,0.032
145,0.005
146,0.052
147,0.062
148,-0.071
149,-0.063
150,0.051
151,0.027
152,-0.002
153,0.087
154,-0.006
155,0.017
156,-0.104
157,0.045
158,0.027
159,-0.022
160,-0.058
161,0.022
162,0.008
163,0.040
164,0.022
165,0.020
166,-0.000
167,0.007
168,-0.093
169,0.069
170,-0.024
171,0.001
172,-0.012
173,0.017
174,0.005
175,-0.005
176,0.037
177,-0.063
178,-0.003
179,0.010
180,0.008
181,-0.064
182,-0.068
183,0.000
184,-0.007
185,-0.027
186,-0.000
187,0.029
188,-0.069
189,-0.059
190,-0.028
191,-0.007
192,0.044
193,0.022
194,0.017
195,0.023
196,0.020
197,0.059
198,0.053
199,-0.026
200,0.045
201,-0.079
202,-0.052
203,-0.031
204,-0.055
205,0.093
206,-0.077
207,0.009
208,0.028
209,-0.055
210,-0.038
211,-0.001
212,0.035
213,-0.057
214,0.036
215,0.045
216,0.133
217,-0.012
218,-0.044
219,0.011
220,0.033
221,0.031
222,-0.032
223,-0.053
224,-0.004
225,-0.028
226,-0.001
227,-0.055
228,-0.072
229,0.012
230,-0.024
231,0.032
232,0.093
233,-0.099
234,-0.023
235,0.001
236,0.014
