TABLE CRVPhoton
#channel,photonYieldDeviation
0,-0.357
1,0.074
2,-1.648
3,-1.091
4,-1.510
5,0.928
6,-0.898
7,0.742
8,-0.680
9,-1.422
10,0.603
11,-0.091
12,-0.449
13,1.089
14,-0.174
15,0.529
16,-0.056
17,-0.808
18,-0.967
19,-1.277
20,-0.600
21,-1.068
22,-0.767
23,1.252
24,2.183
25,-0.214
26,0.135
27,1.456
28,-1.853
29,-0.491
30,-0.416
31,0.641
32,-0.627
33,-0.826
34,0.563
35,0.290
36,-0.166
37,0.327
38,-0.775
39,1.056
40,-0.039
41,0.889
42,0.222
43,0.002
44,-2.335
45,0.426
46,-0.630
47,-0.147
48,1.339
49,-0.990
50,1.888
51,-0.241
52,-0.802
53,-0.110
54,0.142
55,0.314
56,1.907
57,-0.309
58,-0.099
59,0.746
60,0.195
61,-1.318
62,0.466
63,-0.400
64,-0.109
65,0.682
66,1.431
67,1.538
68,0.800
69,-0.295
70,-0.297
71,2.020
72,1.011
73,-0.995
74,0.387
75,1.212
76,0.404
77,1.077
78,0.143
79,-0.822
80,-0.378
81,-0.064
82,-1.523
83,-1.130
84,0.302
85,0.422
86,-0.734
87,1.362
88,0.467
89,1.136
90,0.370
91,-1.070
92,0.526
93,-0.800
94,0.719
95,1.721
96,0.728
97,0.484
98,0.412
99,0.176
100,-0.007
101,0.483
102,0.675
103,0.652
104,-1.565
105,0.079
106,-0.258
107,1.445
108,-0.785
109,-0.771
110,-0.025
111,1.162
112,-0.956
113,-1.575
114,0.365
115,-0.692
116,0.228
117,-0.324
118,0.449
119,-1.016
120,-0.208
121,0.985
122,1.007
123,-0.382
124,-0.461
125,-0.569
126,1.339
127,1.226
128,1.798
129,-0.006
130,-0.583
131,-0.198
132,-0.782
133,0.573
134,1.756
135,-1.541
136,-0.210
137,-0.234
138,-1.185
139,0.092
140,-0.080
141,0.436
142,-0.010
143,1.139
144,-0.682
145,-0.952
146,-0.801
147,-0.069
148,-0.526
149,0.927
150,0.194
151,-0.288
152,0.735
153,-0.574
154,-0.905
155,1.147
156,0.234
157,-1.506
158,-1.129
159,-0.176
160,0.474
161,-0.627
162,2.357
163,0.941
164,0.367
165,-0.486
166,-1.170
167,0.153
168,0.489
169,-1.879
170,0.222
171,-0.795
172,-1.657
173,0.691
174,0.959
175,1.198
176,0.612
177,-1.489
178,0.282
179,-0.189
180,-0.822
181,0.380
182,1.715
183,0.410
184,0.306
185,-0.243
186,0.117
187,1.080
188,-0.565
189,1.548
190,0.335
191,-0.081
192,0.582
193,1.009
194,-0.371
195,0.984
196,1.211
197,-0.034
198,0.635
199,0.314
200,0.116
201,3.344
202,0.207
203,0.116
204,-0.553
205,0.746
206,0.816
207,-0.770
208,-1.366
209,0.558
210,0.405
211,-0.276
212,1.141
213,1.388
214,1.425
215,0.149
216,-0.577
217,0.435
218,1.852
219,0.548
220,-0.086
221,0.430
222,0.301
223,0.773
224,-2.709
225,0.337
226,0.460
227,-0.393
228,0.670
229,-0.186
230,-0.517
231,0.537
232,0.359
233,-0.923
234,-0.711
235,-0.644
236,-0.926
237,0.150
238,1.184
239,-0.649
240,-1.567
241,1.075
242,-0.348
243,-1.265
244,-0.810
245,-1.409
246,1.100
247,-0.725
