TABLE CRVPhoton
#1024 channels, sigma: 0.05, limitlow: -0.2, limithigh: 0.2
#channel,photonYieldDeviation
0,-0.006
1,0.082
2,-0.018
3,-0.015
4,0.016
5,0.058
6,-0.010
7,0.032
8,-0.024
9,0.010
10,-0.047
11,0.026
12,0.012
13,-0.091
14,-0.034
15,-0.017
16,-0.002
17,-0.039
18,0.028
19,-0.036
20,0.036
21,-0.009
22,-0.019
23,-0.012
24,-0.016
25,-0.119
26,0.079
27,-0.040
28,0.092
29,-0.023
30,-0.021
31,0.060
32,0.033
33,0.029
34,0.027
35,0.024
36,0.026
37,0.079
38,0.009
39,0.042
40,-0.002
41,-0.008
42,0.045
43,0.089
44,-0.067
45,0.065
46,0.043
47,-0.032
48,-0.052
49,-0.035
50,0.023
51,0.056
52,-0.011
53,0.007
54,0.087
55,-0.069
56,0.025
57,-0.031
58,-0.051
59,0.024
60,-0.031
61,-0.045
62,-0.049
63,0.014
64,0.017
65,-0.040
66,0.022
67,-0.071
68,0.019
69,-0.005
70,-0.028
71,0.015
72,-0.044
73,0.067
74,0.034
75,0.026
76,0.025
77,-0.004
78,0.058
79,0.068
80,-0.076
81,0.015
82,0.042
83,0.075
84,0.025
85,-0.035
86,-0.064
87,0.040
88,-0.032
89,0.020
90,-0.041
91,0.079
92,-0.112
93,-0.012
94,-0.065
95,-0.041
96,0.000
97,0.021
98,-0.148
99,0.019
100,-0.061
101,-0.082
102,-0.038
103,0.027
104,-0.036
105,0.054
106,-0.056
107,-0.004
108,-0.076
109,0.024
110,-0.021
111,-0.045
112,0.039
113,0.063
114,-0.047
115,0.051
116,0.028
117,0.015
118,-0.014
119,-0.005
120,0.018
121,0.032
122,0.093
123,-0.028
124,0.024
125,-0.072
126,-0.005
127,0.013
128,0.022
129,0.032
130,-0.019
131,0.002
132,0.033
133,-0.029
134,-0.040
135,-0.016
136,-0.049
137,-0.005
138,-0.006
139,-0.085
140,-0.058
141,-0.019
142,0.065
143,-0.038
144,-0.003
145,-0.082
146,0.010
147,-0.064
148,-0.072
149,0.007
150,-0.005
151,-0.010
152,0.022
153,-0.011
154,0.022
155,-0.060
156,0.007
157,0.009
158,0.031
159,-0.005
160,0.069
161,-0.001
162,0.085
163,0.066
164,-0.019
165,-0.080
166,-0.021
167,0.023
168,-0.030
169,0.017
170,-0.050
171,0.031
172,-0.009
173,0.024
174,0.079
175,-0.048
176,0.022
177,0.053
178,0.020
179,0.053
180,0.056
181,-0.070
182,-0.015
183,-0.054
184,-0.067
185,-0.038
186,0.020
187,-0.105
188,0.043
189,-0.055
190,-0.040
191,-0.003
192,0.102
193,-0.092
194,-0.074
195,-0.066
196,0.016
197,-0.041
198,0.029
199,0.027
200,-0.033
201,0.044
202,0.041
203,0.040
204,-0.085
205,0.041
206,0.059
207,-0.028
208,0.023
209,-0.014
210,-0.127
211,0.029
212,0.037
213,0.092
214,0.042
215,-0.001
216,0.003
217,-0.080
218,0.015
219,-0.039
220,0.067
221,0.033
222,-0.039
223,0.034
224,0.055
225,-0.082
226,0.010
227,0.035
228,-0.005
229,0.033
230,0.009
231,0.017
232,0.023
233,0.001
234,-0.039
235,0.046
236,-0.003
237,-0.118
238,0.006
239,-0.064
240,0.066
241,0.111
242,-0.007
243,-0.005
244,-0.073
245,0.002
246,-0.010
247,0.069
248,-0.043
249,0.106
250,-0.014
251,-0.003
252,0.010
253,0.049
254,-0.005
255,-0.046
256,0.036
257,0.038
258,0.005
259,-0.015
260,-0.031
261,0.044
262,0.045
263,0.042
264,-0.037
265,-0.040
266,0.093
267,0.066
268,0.011
269,0.057
270,-0.078
271,0.017
272,-0.075
273,-0.022
274,-0.028
275,0.026
276,0.009
277,0.048
278,-0.050
279,-0.000
280,0.020
281,-0.023
282,0.010
283,-0.103
284,0.022
285,0.022
286,-0.002
287,0.087
288,-0.001
289,-0.013
290,-0.010
291,0.058
292,-0.025
293,0.022
294,-0.023
295,-0.072
296,0.018
297,-0.017
298,-0.036
299,0.019
300,-0.026
301,-0.055
302,0.038
303,-0.107
304,0.005
305,0.043
306,0.018
307,-0.003
308,-0.018
309,0.005
310,-0.024
311,0.053
312,0.077
313,0.072
314,0.015
