TABLE CRVPhoton
#1032 channels, sigma: 0.05, limitlow: -0.2, limithigh: 0.2
#channel,photonYieldDeviation
0,0.011
1,-0.054
2,0.026
3,-0.006
4,-0.014
5,-0.021
6,-0.002
7,0.016
8,0.073
9,-0.034
10,-0.036
11,0.032
12,0.026
13,-0.040
14,0.006
15,0.028
16,-0.061
17,-0.087
18,0.046
19,0.022
20,-0.052
21,-0.006
22,0.063
23,-0.022
24,0.018
25,0.028
26,0.041
27,0.001
28,-0.033
29,-0.030
30,-0.021
31,0.031
32,-0.055
33,0.003
34,0.024
35,-0.023
36,0.005
37,-0.099
38,-0.029
39,-0.050
40,-0.069
41,-0.065
42,-0.023
43,0.045
44,0.047
45,0.006
46,-0.033
47,-0.068
48,0.151
49,0.055
50,0.089
51,-0.068
52,-0.073
53,-0.062
54,0.069
55,0.013
56,-0.020
57,-0.095
58,-0.003
59,0.092
60,-0.015
61,-0.082
62,0.009
63,0.025
64,-0.105
65,0.099
66,0.005
67,-0.021
68,0.012
69,0.054
70,-0.076
71,-0.035
72,0.076
73,-0.007
74,-0.061
75,0.031
76,-0.046
77,0.002
78,-0.036
79,0.010
80,-0.098
81,-0.095
82,-0.055
83,-0.064
84,-0.048
85,0.068
86,0.004
87,0.049
88,0.008
89,0.050
90,0.009
91,-0.115
92,-0.042
93,0.035
94,0.024
95,-0.017
96,0.083
97,0.003
98,-0.028
99,-0.129
100,-0.026
101,0.052
102,0.023
103,-0.029
104,-0.012
105,0.027
106,0.042
107,0.029
108,0.055
109,0.102
110,0.043
111,0.020
112,0.006
113,0.013
114,-0.033
115,0.014
116,-0.033
117,-0.029
118,-0.007
119,-0.094
120,-0.071
121,-0.017
122,0.009
123,0.066
124,0.012
125,-0.053
126,-0.008
127,-0.053
128,0.003
129,-0.046
130,0.044
131,-0.038
132,0.048
133,-0.039
134,0.045
135,-0.058
136,0.020
137,0.006
138,-0.043
139,0.004
140,0.058
141,0.004
142,-0.062
143,0.010
144,-0.100
145,0.066
146,-0.001
147,-0.115
148,-0.015
149,0.071
150,0.034
151,-0.029
152,-0.049
153,0.012
154,0.003
155,-0.063
156,-0.029
157,-0.054
158,-0.114
159,0.026
160,0.030
161,-0.038
162,-0.003
163,-0.020
164,0.053
165,0.006
166,-0.002
167,0.057
168,-0.029
169,-0.060
170,0.041
171,-0.024
172,0.028
173,-0.032
174,-0.030
175,0.001
176,-0.046
177,0.019
178,-0.044
179,0.018
180,-0.037
181,-0.056
182,0.006
183,-0.012
184,0.009
185,0.072
186,-0.061
187,-0.013
188,-0.049
189,-0.028
190,0.062
191,-0.006
192,0.025
193,0.012
194,-0.031
195,-0.055
196,-0.005
197,-0.006
198,-0.005
199,-0.084
200,-0.066
201,0.028
202,0.070
203,-0.048
204,-0.076
205,-0.026
206,-0.045
207,-0.025
208,0.071
209,0.110
210,0.063
211,-0.018
212,-0.032
213,0.010
214,-0.027
215,-0.029
216,0.126
217,-0.039
218,0.014
219,0.030
220,-0.050
221,-0.041
222,0.016
223,-0.062
224,0.090
225,0.077
226,-0.013
227,-0.036
228,0.013
229,-0.004
230,0.008
231,-0.013
232,0.001
233,-0.076
234,-0.030
235,0.060
236,-0.037
237,0.026
238,-0.011
239,0.004
240,0.088
241,-0.093
242,0.043
243,-0.035
244,0.006
245,-0.054
246,0.009
247,-0.012
248,0.075
249,0.018
250,0.066
251,0.034
252,0.039
253,0.045
254,-0.000
255,0.011
256,-0.087
257,0.011
258,-0.059
259,-0.049
260,0.044
261,0.154
262,-0.016
263,-0.020
264,0.022
265,-0.032
266,-0.004
267,-0.036
268,0.046
269,-0.071
270,-0.045
271,0.023
272,0.064
273,-0.033
274,0.021
275,-0.063
276,-0.022
277,0.056
278,-0.029
279,-0.025
280,0.022
281,-0.038
282,-0.023
283,0.086
284,0.040
285,-0.001
286,0.047
287,-0.019
288,0.014
289,0.064
290,-0.044
291,-0.004
292,-0.013
293,-0.049
294,-0.036
295,-0.029
296,-0.060
297,-0.009
298,-0.034
299,0.013
300,-0.040
301,0.038
302,-0.055
303,-0.054
304,0.065
305,0.023
306,0.069
307,-0.007
308,-0.058
309,-0.046
310,-0.030
311,-0.025
312,-0.016
313,-0.032
314,0.079
315,-0.035
316,0.045
317,-0.018
318,0.015
319,-0.077
320,-0.044
321,-0.008
322,0.028
323,-0.028
324,-0.001
325,0.033
326,0.055
327,-0.095
328,-0.091
329,0.025
330,0.000
331,0.027
332,0.048
333,0.026
334,-0.017
335,0.004
336,0.033
337,0.043
338,-0.026
339,0.041
340,0.012
341,0.032
342,0.025
343,-0.023
344,0.039
345,-0.116
346,0.041
347,-0.044
348,0.020
349,-0.024
350,0.048
351,0.054
352,-0.077
353,-0.027
354,-0.006
355,0.112
356,-0.005
357,0.035
358,-0.054
359,-0.016
360,0.123
361,0.005
362,-0.000
363,0.034
364,0.007
365,-0.006
366,-0.019
367,0.039
368,0.013
369,-0.044
370,0.032
371,0.023
372,0.107
373,-0.098
374,0.147
375,-0.069
376,-0.057
377,-0.103
378,-0.019
379,-0.048
380,0.032
381,0.005
382,0.014
383,-0.017
384,0.009
385,0.021
386,-0.056
387,-0.042
388,0.048
389,-0.050
390,-0.009
391,-0.082
392,0.028
393,-0.006
394,-0.021
395,0.027
396,0.088
397,0.011
398,-0.033
399,0.074
400,0.005
401,-0.061
402,0.002
403,0.041
404,0.054
405,-0.071
406,0.005
407,-0.049
408,0.059
409,0.032
410,-0.023
411,-0.097
412,0.023
413,0.006
414,0.056
415,0.068
416,0.035
417,-0.017
418,0.042
419,-0.020
420,-0.002
421,0.054
422,0.018
423,0.054
424,0.095
425,0.035
426,-0.021
427,-0.024
428,-0.045
429,0.004
430,-0.004
431,0.017
432,0.090
433,0.034
434,-0.065
435,0.001
436,0.021
437,0.008
438,0.044
439,0.038
440,0.022
441,-0.028
442,-0.075
443,-0.034
444,-0.041
445,-0.024
446,0.061
447,-0.092
448,-0.037
449,-0.010
450,0.040
451,0.028
452,0.055
453,-0.056
454,0.049
455,0.037
456,0.106
457,0.073
458,0.001
459,-0.077
460,0.037
461,-0.059
462,0.056
463,0.034
464,0.017
465,0.071
466,0.032
467,-0.024
468,0.011
469,-0.051
470,-0.029
471,-0.005
472,0.055
473,0.001
474,0.047
475,-0.069
476,-0.100
477,-0.084
478,0.038
479,0.033
480,0.068
481,0.067
482,0.087
483,0.018
484,0.013
485,0.023
486,0.123
487,-0.037
488,-0.015
489,0.020
490,-0.036
491,0.003
492,-0.111
493,0.093
494,-0.089
495,0.012
496,-0.051
497,0.011
498,0.023
499,0.096
500,0.026
501,0.052
502,-0.060
503,0.038
504,0.093
505,-0.060
506,0.013
507,-0.122
508,0.022
509,-0.033
510,0.011
511,-0.048
512,-0.026
513,-0.017
514,0.074
515,-0.048
516,-0.143
517,-0.094
