TABLE CRVPhoton
#912 channels, sigma: 0.05, limitlow: -0.2, limithigh: 0.2
#channel,photonYieldDeviation
0,0.047
1,0.020
2,0.007
3,0.128
4,0.059
5,-0.114
6,0.050
7,0.047
8,0.073
9,0.097
10,0.024
11,0.018
12,0.104
13,0.066
14,0.051
15,-0.007
16,-0.040
17,-0.022
18,0.109
19,-0.065
20,0.014
21,-0.022
22,-0.051
23,-0.078
24,-0.051
25,0.028
26,-0.023
27,0.019
28,-0.110
29,0.028
30,0.024
31,-0.020
32,0.032
33,-0.060
34,-0.068
35,-0.024
36,-0.009
37,-0.043
38,-0.007
39,-0.038
40,-0.000
41,0.114
42,0.097
43,-0.011
44,0.007
45,-0.052
46,-0.007
47,0.016
48,0.004
49,0.030
50,0.057
51,-0.050
52,-0.005
53,0.032
54,0.051
55,0.082
56,0.027
57,0.017
58,-0.007
59,0.032
60,-0.016
61,0.107
62,0.046
63,-0.025
64,-0.000
65,0.033
66,0.015
67,-0.003
68,-0.013
69,0.000
70,0.008
71,-0.070
72,0.031
73,0.030
74,-0.008
75,0.060
76,0.013
77,-0.018
78,0.006
79,0.000
80,0.030
81,-0.062
82,0.026
83,-0.002
84,0.029
85,-0.029
86,-0.006
87,0.052
88,-0.056
89,-0.035
90,0.014
91,0.004
92,-0.046
93,-0.106
94,0.001
95,-0.008
96,0.034
97,-0.065
98,-0.058
99,0.031
100,0.091
101,-0.009
102,-0.030
103,0.013
104,-0.051
105,-0.062
106,0.069
107,0.010
108,0.040
109,-0.045
110,-0.042
111,-0.040
112,-0.102
113,0.010
114,-0.002
115,-0.018
116,0.038
117,-0.007
118,-0.066
119,0.014
120,-0.091
121,-0.043
122,0.053
123,-0.038
124,0.015
125,0.049
126,0.060
127,0.005
128,0.041
129,-0.026
130,-0.022
131,-0.017
132,0.015
133,0.058
134,0.025
135,-0.017
136,0.072
137,-0.021
138,-0.004
139,-0.006
140,-0.017
141,0.110
142,-0.049
143,0.010
144,-0.032
145,-0.021
146,0.011
147,-0.006
148,-0.027
149,0.018
150,-0.053
151,0.047
152,0.001
153,0.012
154,-0.007
155,-0.019
156,0.086
157,-0.032
158,0.076
159,-0.066
160,0.066
161,-0.031
162,-0.012
163,-0.042
164,-0.037
165,-0.003
166,-0.003
167,0.007
168,-0.070
169,-0.045
170,-0.052
171,-0.084
172,-0.064
173,-0.065
174,-0.021
175,-0.025
176,-0.067
177,0.017
178,-0.047
179,0.046
180,-0.001
181,-0.068
182,0.042
183,-0.045
184,-0.059
185,-0.085
186,0.051
187,0.020
188,-0.102
189,-0.077
190,-0.125
191,-0.008
192,0.010
193,-0.011
194,-0.004
195,-0.002
196,-0.023
197,-0.015
198,-0.003
199,-0.006
200,0.071
201,-0.024
202,-0.056
203,0.094
204,-0.068
205,0.013
206,-0.027
207,-0.037
208,0.016
209,-0.055
210,0.038
211,-0.029
212,0.001
213,0.022
214,-0.078
215,-0.028
216,0.042
217,-0.050
218,0.011
219,-0.097
220,-0.131
221,-0.110
222,0.041
223,-0.041
224,0.135
225,0.014
226,0.077
227,-0.037
228,0.069
229,0.052
230,0.006
231,-0.006
232,0.108
233,-0.031
234,0.022
235,0.012
236,0.053
237,-0.058
238,0.054
239,0.029
240,0.039
241,-0.013
242,-0.066
243,0.079
244,0.088
245,0.075
246,-0.042
247,-0.038
248,0.039
249,0.091
250,0.040
251,0.039
252,-0.009
253,0.047
254,0.010
255,-0.023
256,-0.003
257,-0.001
258,0.047
259,0.001
260,0.055
261,-0.035
262,-0.043
263,0.007
264,-0.002
265,-0.059
266,-0.009
267,-0.031
268,-0.042
269,-0.070
270,-0.019
271,0.033
272,-0.056
273,-0.061
274,-0.004
275,0.036
276,0.024
277,-0.048
278,0.008
279,0.024
280,-0.008
281,0.059
282,0.062
283,0.032
284,0.070
285,-0.061
286,-0.013
287,0.023
288,-0.049
289,-0.081
290,-0.071
291,0.056
292,0.022
293,-0.083
294,0.026
295,-0.073
296,0.086
297,0.089
298,-0.116
299,-0.118
300,-0.033
301,-0.053
302,0.026
303,0.042
304,0.055
305,0.020
306,-0.004
307,0.098
308,0.018
309,0.029
310,-0.027
311,0.015
312,-0.009
313,0.056
314,-0.039
315,-0.019
316,0.011
317,0.061
318,0.019
319,0.080
320,0.001
321,-0.003
322,-0.115
323,-0.057
324,-0.022
325,0.064
326,-0.067
327,0.021
328,-0.024
329,-0.043
330,0.176
331,0.009
332,-0.026
333,-0.057
334,0.033
335,-0.036
336,0.014
337,-0.030
338,-0.051
339,-0.068
340,0.080
341,-0.024
342,0.010
343,0.001
344,-0.001
345,-0.065
346,0.027
347,0.016
348,-0.033
349,0.002
350,-0.001
351,-0.021
352,-0.068
353,-0.118
354,0.024
355,-0.027
356,-0.023
357,-0.068
358,0.082
359,-0.040
360,0.017
361,-0.002
362,0.052
363,0.020
364,-0.095
365,0.012
366,0.015
367,-0.029
368,-0.048
369,-0.083
370,-0.041
371,-0.023
372,0.000
373,0.030
374,-0.092
375,-0.002
376,-0.080
377,-0.012
378,0.046
379,-0.010
380,0.027
381,0.029
382,0.018
383,-0.034
384,0.022
385,0.057
386,0.019
387,-0.059
388,0.020
389,-0.022
390,0.028
391,-0.056
392,-0.015
393,-0.010
394,-0.056
395,0.005
396,-0.021
397,-0.098
398,0.029
399,-0.013
400,0.063
401,0.025
402,-0.025
403,-0.038
404,-0.022
405,0.015
406,0.009
407,0.056
408,-0.003
409,0.049
410,-0.059
411,-0.004
412,0.033
413,0.063
414,0.029
415,-0.022
416,-0.050
417,0.037
418,-0.048
419,0.023
420,0.013
421,-0.062
422,-0.007
423,-0.031
424,-0.049
425,-0.039
426,0.056
427,0.023
428,0.005
429,-0.009
430,0.009
431,-0.028
432,-0.102
433,-0.085
434,-0.003
435,-0.029
436,-0.084
437,-0.049
438,0.047
439,0.075
440,0.004
441,-0.042
442,-0.015
443,-0.058
444,-0.021
445,-0.038
446,0.063
447,0.025
448,-0.091
449,-0.014
450,0.051
451,-0.019
452,0.065
453,-0.042
454,0.018
455,-0.045
456,0.064
457,-0.039
458,-0.091
459,-0.008
460,0.073
461,-0.094
462,-0.018
463,0.050
464,0.020
465,0.016
466,0.001
467,-0.044
468,-0.058
469,0.017
470,-0.141
471,0.012
472,0.072
473,0.057
474,-0.075
475,-0.040
476,-0.020
477,-0.049
478,-0.044
479,-0.024
480,0.020
481,-0.048
482,-0.038
483,-0.081
484,-0.019
485,-0.013
486,-0.105
487,0.059
488,0.042
489,0.045
490,0.028
491,-0.004
492,0.080
493,0.071
494,-0.047
495,0.055
496,-0.011
497,0.030
498,0.070
499,0.032
500,0.056
501,0.051
502,0.024
503,-0.060
504,0.058
505,0.008
506,0.101
507,-0.024
508,0.015
509,-0.076
510,0.068
511,-0.004
512,0.097
513,0.076
514,0.022
515,0.008
516,-0.044
517,-0.002
518,-0.064
519,0.046
520,-0.050
521,-0.010
522,-0.041
523,0.046
524,0.039
525,-0.013
526,0.014
527,-0.072
528,-0.013
529,-0.015
530,0.020
531,-0.017
532,0.003
533,0.059
534,-0.022
535,0.011
536,-0.024
537,0.043
538,0.055
539,0.012
540,0.008
541,0.039
542,0.056
543,-0.041
544,0.004
545,-0.010
546,0.006
547,-0.049
548,-0.043
549,-0.000
550,0.097
551,-0.016
552,0.107
553,0.040
554,-0.091
555,0.048
556,0.093
557,0.076
558,-0.052
559,0.036
560,-0.007
561,0.039
562,-0.007
563,-0.074
564,-0.050
565,-0.006
566,0.058
567,0.080
568,0.028
569,0.066
570,0.007
571,-0.031
572,0.086
573,-0.003
574,-0.038
575,0.038
576,-0.014
577,0.102
578,0.063
579,0.000
580,0.029
581,-0.011
582,0.064
583,-0.071
584,0.039
585,0.005
586,0.044
587,-0.038
588,-0.003
589,-0.003
590,-0.008
591,0.121
592,0.022
593,0.002
594,0.000
595,0.099
596,-0.003
597,0.027
598,-0.013
599,0.068
600,-0.041
601,-0.007
602,0.017
603,-0.016
604,0.059
605,0.029
606,-0.057
607,0.024
608,-0.074
609,0.019
610,0.024
611,-0.036
612,0.046
613,0.066
614,-0.005
615,-0.020
616,0.142
617,-0.041
618,-0.016
619,-0.061
620,0.065
621,-0.013
622,0.028
623,-0.053
624,0.061
625,-0.011
626,-0.108
627,-0.000
628,0.032
629,-0.068
630,-0.029
631,-0.022
632,-0.030
633,-0.004
634,-0.029
635,0.031
636,-0.016
637,0.039
638,0.023
639,0.057
640,0.007
641,0.038
642,-0.017
643,0.035
644,-0.042
645,0.011
646,-0.004
647,0.028
648,0.050
649,0.018
650,0.042
651,-0.041
652,-0.012
653,-0.027
654,-0.003
655,-0.028
656,-0.027
657,0.051
658,-0.050
659,0.115
660,-0.027
661,-0.009
662,0.038
663,-0.044
664,0.006
665,-0.106
666,-0.008
667,0.036
668,0.027
669,0.010
670,0.035
671,0.025
672,0.022
673,-0.044
674,0.050
675,-0.042
676,0.050
677,0.034
678,-0.097
679,-0.081
680,0.098
681,-0.018
682,0.022
683,0.067
684,-0.073
685,0.059
686,-0.097
687,-0.047
688,-0.022
689,-0.043
690,0.056
691,0.017
692,0.085
693,-0.040
694,0.027
695,-0.066
696,-0.019
697,0.041
698,0.061
699,0.075
700,0.065
701,0.056
702,-0.006
703,0.032
704,0.045
705,0.005
706,-0.016
707,0.059
708,-0.050
709,-0.042
710,-0.076
711,0.057
712,0.084
713,0.120
714,0.019
715,0.075
716,-0.041
717,0.012
718,-0.072
719,0.032
720,0.110
721,0.024
722,-0.034
723,0.103
724,-0.057
725,-0.039
726,0.034
727,-0.036
728,-0.013
729,-0.031
730,0.032
731,-0.053
732,-0.080
733,0.045
734,0.054
735,0.036
736,-0.032
737,0.019
738,-0.009
739,0.008
740,0.064
741,0.087
742,0.032
743,-0.031
744,-0.031
745,-0.038
746,0.000
747,0.021
748,-0.009
749,0.121
750,0.128
751,0.038
752,0.028
753,0.021
754,-0.030
755,-0.009
756,-0.073
757,0.012
758,-0.077
759,0.014
760,0.025
761,-0.047
762,0.082
763,-0.024
764,-0.078
765,-0.036
766,-0.048
767,-0.025
768,0.007
769,0.084
770,0.029
771,0.007
772,0.007
773,0.046
774,0.041
775,0.037
776,-0.043
777,0.047
778,-0.068
779,0.001
780,0.028
781,-0.006
782,0.005
783,-0.001
784,-0.003
785,0.002
786,0.068
787,-0.055
788,-0.026
789,0.017
790,0.020
791,0.011
792,0.093
793,-0.006
794,-0.026
795,0.011
796,0.049
797,0.036
798,-0.006
799,0.045
800,0.068
801,0.006
802,0.026
803,-0.105
804,-0.031
805,-0.040
806,0.047
807,-0.022
808,-0.030
809,-0.099
810,0.026
811,-0.018
812,0.032
813,0.013
814,-0.013
815,0.041
816,0.006
817,-0.009
818,-0.042
819,0.012
820,0.008
821,-0.020
822,-0.033
823,-0.010
824,-0.043
825,-0.059
826,0.016
827,0.007
828,0.047
829,0.013
830,-0.038
831,0.071
832,0.016
833,0.006
834,0.097
835,-0.062
836,0.029
837,-0.001
838,-0.032
839,-0.015
840,-0.020
841,0.020
842,0.004
843,-0.035
844,-0.041
845,-0.027
846,-0.039
847,0.031
848,0.005
849,-0.101
850,-0.055
851,-0.023
852,0.075
853,-0.068
854,0.087
855,0.012
856,-0.039
857,-0.032
858,-0.007
859,0.090
860,0.081
861,0.034
862,0.081
863,-0.015
864,0.024
865,0.075
866,-0.087
867,-0.034
868,0.049
869,-0.041
870,0.014
871,0.055
872,0.049
873,-0.003
874,-0.070
875,0.097
876,0.059
877,-0.046
878,-0.018
879,-0.023
880,-0.024
881,-0.039
882,0.064
883,0.071
884,-0.044
885,0.048
886,0.072
887,0.098
888,0.011
889,0.016
890,0.047
891,0.112
892,-0.010
893,-0.030
894,0.030
895,-0.043
896,0.095
897,0.093
898,-0.073
899,0.020
900,0.019
901,-0.015
902,-0.034
903,0.029
904,-0.054
905,0.015
906,0.014
907,-0.013
908,0.000
909,0.106
910,-0.015
911,-0.024
