Channel	ROC	FEB	FEBchannel
0	1	0	0
1	1	2	0
2	1	0	1
3	1	2	1
4	1	0	2
5	1	2	2
6	1	0	3
7	1	2	3
8	1	0	4
9	1	2	4
10	1	0	5
11	1	2	5
12	1	0	6
13	1	2	6
14	1	0	7
15	1	2	7
16	1	0	8
17	1	2	8
18	1	0	9
19	1	2	9
20	1	0	10
21	1	2	10
22	1	0	11
23	1	2	11
24	1	0	12
25	1	2	12
26	1	0	13
27	1	2	13
28	1	0	14
29	1	2	14
30	1	0	15
31	1	2	15
32	1	0	16
33	1	2	16
34	1	0	17
35	1	2	17
36	1	0	18
37	1	2	18
38	1	0	19
39	1	2	19
40	1	0	20
41	1	2	20
42	1	0	21
43	1	2	21
44	1	0	22
45	1	2	22
46	1	0	23
47	1	2	23
48	1	0	24
49	1	2	24
50	1	0	25
51	1	2	25
52	1	0	26
53	1	2	26
54	1	0	27
55	1	2	27
56	1	0	28
57	1	2	28
58	1	0	29
59	1	2	29
60	1	0	30
61	1	2	30
62	1	0	31
63	1	2	31
64	1	0	32
65	1	2	32
66	1	0	33
67	1	2	33
68	1	0	34
69	1	2	34
70	1	0	35
71	1	2	35
72	1	0	36
73	1	2	36
74	1	0	37
75	1	2	37
76	1	0	38
77	1	2	38
78	1	0	39
79	1	2	39
80	1	0	40
81	1	2	40
82	1	0	41
83	1	2	41
84	1	0	42
85	1	2	42
86	1	0	43
87	1	2	43
88	1	0	44
89	1	2	44
90	1	0	45
91	1	2	45
92	1	0	46
93	1	2	46
94	1	0	47
95	1	2	47
96	1	0	48
97	1	2	48
98	1	0	49
99	1	2	49
100	1	0	50
101	1	2	50
102	1	0	51
103	1	2	51
104	1	0	52
105	1	2	52
106	1	0	53
107	1	2	53
108	1	0	54
109	1	2	54
110	1	0	55
111	1	2	55
112	1	0	56
113	1	2	56
114	1	0	57
115	1	2	57
116	1	0	58
117	1	2	58
118	1	0	59
119	1	2	59
120	1	0	60
121	1	2	60
122	1	0	61
123	1	2	61
124	1	0	62
125	1	2	62
126	1	0	63
127	1	2	63
128	1	1	0
129	1	3	0
130	1	1	1
131	1	3	1
132	1	1	2
133	1	3	2
134	1	1	3
135	1	3	3
136	1	1	4
137	1	3	4
138	1	1	5
139	1	3	5
140	1	1	6
141	1	3	6
142	1	1	7
143	1	3	7
144	1	1	8
145	1	3	8
146	1	1	9
147	1	3	9
148	1	1	10
149	1	3	10
150	1	1	11
151	1	3	11
152	1	1	12
153	1	3	12
154	1	1	13
155	1	3	13
156	1	1	14
157	1	3	14
158	1	1	15
159	1	3	15
160	1	1	16
161	1	3	16
162	1	1	17
163	1	3	17
164	1	1	18
165	1	3	18
166	1	1	19
167	1	3	19
168	1	1	20
169	1	3	20
170	1	1	21
171	1	3	21
172	1	1	22
173	1	3	22
174	1	1	23
175	1	3	23
176	1	1	24
177	1	3	24
178	1	1	25
179	1	3	25
180	1	1	26
181	1	3	26
182	1	1	27
183	1	3	27
184	1	1	28
185	1	3	28
186	1	1	29
187	1	3	29
188	1	1	30
189	1	3	30
190	1	1	31
191	1	3	31
192	1	1	32
193	1	3	32
194	1	1	33
195	1	3	33
196	1	1	34
197	1	3	34
198	1	1	35
199	1	3	35
200	1	1	36
201	1	3	36
202	1	1	37
203	1	3	37
204	1	1	38
205	1	3	38
206	1	1	39
207	1	3	39
208	1	1	40
209	1	3	40
210	1	1	41
211	1	3	41
212	1	1	42
213	1	3	42
214	1	1	43
215	1	3	43
216	1	1	44
217	1	3	44
218	1	1	45
219	1	3	45
220	1	1	46
221	1	3	46
222	1	1	47
223	1	3	47
224	1	1	48
225	1	3	48
226	1	1	49
227	1	3	49
228	1	1	50
229	1	3	50
230	1	1	51
231	1	3	51
232	1	1	52
233	1	3	52
234	1	1	53
235	1	3	53
236	1	1	54
237	1	3	54
238	1	1	55
239	1	3	55
240	1	1	56
241	1	3	56
242	1	1	57
243	1	3	57
244	1	1	58
245	1	3	58
246	1	1	59
247	1	3	59
248	1	1	60
249	1	3	60
250	1	1	61
251	1	3	61
