TABLE CRVBadChan
#A channel can have more than one status bit. Add all status bits for the complete status.
#status 1 (bit 0): not connected
#status 2 (bit 1): ignore channel in reconstruction
#status 4 (bit 2): no data
#status 8 (bit 3): no pedestal
#status 16 (bit 4): no calibration constant
#status 32 (bit 5): noisy
#channel,status
213,3
462,3
520,3
552,3
792,3
798,3
863,3
906,3
910,3
954,3
1065,3
1067,3
1069,3
1071,3
1107,3
1119,3
1161,3
1383,3
2160,3
2162,3
2164,3
2166,3
2168,3
2170,3
2172,3
2174,3
2218,3
2222,3
2246,3
