TABLE CRVBadChan 1200-1204 1206-1299
#22016 channels, probability: 0.01
#A channel can have more than one status bit. Add all status bits for the complete status.
#status 1 (bit 0): not connected
#status 2 (bit 1): ignore channel in reconstruction
#status 4 (bit 2): no data
#status 8 (bit 3): no pedestal
#status 16 (bit 4): no calibration constant
#status 32 (bit 5): noisy
#channel,status
100,2
143,2
216,2
275,2
440,2
456,2
731,2
742,2
886,2
896,2
1082,2
1152,2
1275,2
1332,2
1447,2
1495,2
1510,2
1727,2
1850,2
1923,2
1946,2
2195,2
2363,2
2372,2
2566,2
2738,2
2830,2
3118,2
3157,2
3232,2
3503,2
3539,2
3559,2
3625,2
3676,2
3966,2
4023,2
4050,2
4223,2
4237,2
4303,2
4330,2
4418,2
4425,2
4476,2
4487,2
4666,2
4674,2
4699,2
4743,2
5032,2
5046,2
5416,2
5427,2
5789,2
5937,2
6121,2
6173,2
6331,2
6367,2
6388,2
6446,2
6481,2
6512,2
6833,2
6849,2
6887,2
7111,2
7241,2
7293,2
7310,2
7331,2
7401,2
7530,2
7553,2
7578,2
7663,2
7748,2
7761,2
7871,2
7945,2
8025,2
8103,2
8236,2
8362,2
8567,2
8595,2
8825,2
8873,2
8920,2
9050,2
9083,2
9123,2
9213,2
9429,2
9546,2
9601,2
9669,2
9754,2
9804,2
10139,2
10229,2
10259,2
10317,2
10382,2
10392,2
10458,2
10518,2
10663,2
10671,2
10801,2
10820,2
10987,2
11007,2
11015,2
11026,2
11058,2
11083,2
11183,2
11387,2
11404,2
11417,2
11458,2
12013,2
12035,2
12091,2
12177,2
12503,2
12706,2
12793,2
12952,2
12974,2
13088,2
13479,2
13587,2
13702,2
13859,2
13894,2
13958,2
13975,2
13992,2
14000,2
14183,2
14197,2
14288,2
14397,2
14413,2
14467,2
14620,2
14736,2
14853,2
14890,2
14943,2
15092,2
15408,2
15518,2
15546,2
15585,2
15614,2
15709,2
15738,2
15865,2
15952,2
16009,2
16030,2
16370,2
16463,2
16520,2
16557,2
16584,2
16618,2
16719,2
16816,2
16960,2
16983,2
17094,2
17311,2
17431,2
17546,2
18356,2
18366,2
18407,2
18452,2
18524,2
18585,2
18600,2
18655,2
18841,2
18959,2
19223,2
19408,2
19498,2
19692,2
20040,2
20056,2
20105,2
20221,2
20374,2
20452,2
20475,2
20520,2
20671,2
20721,2
21075,2
21321,2
21490,2
21510,2
21544,2
21711,2
21834,2
21847,2
21859,2
21973,2
