TABLE CRVBadChan
#21376 channels, probability: 0.01
#A channel can have more than one status bit. Add all status bits for the complete status.
#status 1 (bit 0): not connected
#status 2 (bit 1): ignore channel in reconstruction
#status 4 (bit 2): no data
#status 8 (bit 3): no pedestal
#status 16 (bit 4): no calibration constant
#status 32 (bit 5): noisy
#channel,status
19,2
74,2
129,2
182,2
346,2
368,2
445,2
512,2
574,2
581,2
889,2
936,2
950,2
1038,2
1053,2
1139,2
1334,2
1385,2
1438,2
1496,2
1565,2
1648,2
1857,2
1866,2
1960,2
2198,2
2225,2
2558,2
2641,2
2713,2
2913,2
3007,2
3046,2
3175,2
3331,2
3346,2
3442,2
3795,2
3833,2
4034,2
4155,2
4419,2
4510,2
4597,2
4610,2
4620,2
4707,2
4767,2
4822,2
4896,2
5110,2
5208,2
5261,2
5375,2
5553,2
5862,2
6047,2
6213,2
6492,2
6572,2
6693,2
6772,2
6831,2
6845,2
6955,2
7083,2
7330,2
7356,2
7413,2
7436,2
7604,2
7723,2
7903,2
7931,2
7948,2
8026,2
8045,2
8311,2
8394,2
8467,2
8597,2
8625,2
8697,2
8828,2
9001,2
9016,2
9182,2
9438,2
9560,2
10002,2
10096,2
10330,2
10496,2
10714,2
10755,2
10840,2
10859,2
10890,2
10913,2
10920,2
11148,2
11260,2
11314,2
11560,2
11576,2
11719,2
11760,2
11770,2
11903,2
11931,2
11956,2
12084,2
12136,2
12266,2
12414,2
12502,2
12599,2
12618,2
12640,2
12840,2
12898,2
12984,2
13042,2
13217,2
13356,2
13596,2
13628,2
13829,2
14039,2
14150,2
14194,2
14235,2
14301,2
14377,2
14501,2
14517,2
14540,2
14711,2
14732,2
14924,2
15034,2
15054,2
15103,2
15182,2
15356,2
15375,2
15415,2
15530,2
15557,2
15638,2
15754,2
15872,2
16093,2
16101,2
16135,2
16442,2
16521,2
16716,2
16786,2
16796,2
16911,2
17033,2
17078,2
17085,2
17163,2
17214,2
17228,2
17330,2
17372,2
17390,2
17421,2
17518,2
17679,2
17698,2
18197,2
18206,2
18214,2
18221,2
18396,2
18422,2
18536,2
18612,2
18731,2
18747,2
18886,2
18948,2
19028,2
19623,2
19663,2
19788,2
20182,2
20308,2
20330,2
20345,2
20432,2
20489,2
20520,2
20629,2
20941,2
21104,2
21213,2
21330,2
