TABLE CRVTime
#channel,timeOffset
0,0.313
1,-0.218
2,0.816
3,1.706
4,-0.413
5,-0.372
6,-0.388
7,0.628
8,-0.644
9,0.657
10,0.373
11,-2.917
12,0.297
13,1.573
14,0.560
15,0.034
16,-1.317
17,0.833
18,0.253
19,0.160
20,-0.804
21,0.016
22,-1.088
23,0.384
24,-0.335
25,0.250
26,-1.261
27,0.317
28,0.337
29,-0.254
30,0.538
31,0.590
32,-0.998
33,0.435
34,0.613
35,-0.168
36,0.429
37,0.964
38,0.565
39,-0.920
40,0.151
41,-0.179
42,-1.376
43,1.102
44,-0.608
45,-0.672
46,-0.955
47,-0.198
48,0.616
49,-1.750
50,0.201
51,-0.507
52,-1.470
53,1.256
54,0.631
55,0.376
56,-0.720
57,0.064
58,1.638
59,-0.040
60,-0.156
61,-0.916
62,2.123
63,-0.638
64,1.921
65,0.079
66,1.414
67,0.346
68,0.828
69,-0.494
70,1.511
71,0.382
72,-0.023
73,-1.309
74,-0.315
75,-0.484
76,-1.167
77,-0.574
78,0.238
79,0.753
80,-2.824
81,1.063
82,-1.238
83,-0.338
84,-1.010
85,-0.531
86,0.877
87,-0.569
88,0.074
89,0.430
90,-0.195
91,-1.176
92,0.211
93,2.371
94,-0.352
95,-0.605
96,-0.079
97,0.651
98,-0.572
99,0.323
100,-0.026
101,0.380
102,1.603
103,0.625
104,-1.120
105,-0.799
106,1.869
107,1.877
108,0.889
109,-0.168
110,-0.954
111,-0.972
112,1.701
113,0.308
114,-0.024
115,0.180
116,-0.806
117,-0.260
118,-1.555
119,0.750
120,0.097
121,-0.591
122,0.460
123,-0.737
124,1.698
125,0.696
126,0.569
127,-1.537
128,-0.906
129,0.151
130,1.729
131,-0.146
132,-0.122
133,-1.610
134,-0.668
135,-1.458
136,0.685
137,0.615
138,0.154
139,0.088
140,-0.426
141,-0.985
142,1.428
143,0.331
144,0.864
145,0.573
146,-0.688
147,-0.009
148,-0.009
149,0.412
150,0.250
151,-0.396
152,-0.132
153,-0.223
154,0.016
155,1.651
156,0.596
157,-0.640
158,0.103
159,-1.287
160,-1.023
161,-0.830
162,-1.395
163,0.318
164,-0.529
165,0.958
166,-0.239
167,0.448
168,-0.731
169,0.189
170,0.123
171,-1.328
172,0.790
173,0.513
174,1.098
175,-2.041
176,-0.069
177,-1.211
178,-0.796
179,-0.088
180,0.049
181,-0.834
182,0.038
183,0.703
184,-0.653
185,-1.159
186,-0.946
187,0.415
188,-2.205
189,0.271
190,0.184
191,1.579
192,1.913
193,-0.521
194,2.694
195,-0.249
196,0.019
197,-0.107
198,-1.059
199,-1.880
200,-0.327
201,-2.169
202,-1.603
203,-1.846
204,1.127
205,0.238
206,1.292
207,-0.046
208,-0.248
209,-0.583
210,-0.028
211,-0.658
212,-0.298
213,-0.400
214,-0.309
215,1.534
216,-1.140
217,-0.661
218,1.378
219,0.357
220,2.011
221,0.227
222,0.078
223,-0.523
224,-2.120
225,0.775
226,-0.220
227,-0.841
228,0.311
229,-0.451
230,0.483
231,0.935
232,1.469
233,0.295
234,0.286
235,1.280
236,-1.754
237,0.176
238,1.009
239,0.648
240,0.940
241,-0.033
242,-0.113
243,-1.509
244,0.022
245,1.002
246,-0.901
247,-0.373
248,0.393
249,0.079
250,-0.523
251,0.587
252,2.225
253,1.317
254,0.485
255,0.220
256,-1.305
257,-1.304
258,0.229
259,1.142
260,-0.985
261,2.328
262,0.120
263,-0.298
264,0.593
265,-2.024
266,0.810
267,1.311
268,-0.450
269,-0.302
270,-0.463
271,-1.097
272,0.028
273,-0.206
274,-0.470
275,0.136
276,1.428
277,0.541
278,0.116
279,0.591
280,1.137
281,-0.676
282,0.080
283,0.268
284,0.502
285,0.419
286,-0.773
287,0.764
