Channel	ROC	FEB	FEBchannel
0	1	2	63
2	1	2	62
4	1	2	61
6	1	2	60
8	1	2	59
10	1	2	58
12	1	2	57
14	1	2	56
16	1	2	55
18	1	2	54
20	1	2	53
22	1	2	52
24	1	2	51
26	1	2	50
28	1	2	49
30	1	2	48
32	1	2	47
34	1	2	46
36	1	2	45
38	1	2	44
40	1	2	43
42	1	2	42
44	1	2	41
46	1	2	40
48	1	2	39
50	1	2	38
52	1	2	37
54	1	2	36
56	1	2	35
58	1	2	34
60	1	2	33
62	1	2	32
64	1	2	31
66	1	2	30
68	1	2	29
70	1	2	28
72	1	2	27
74	1	2	26
76	1	2	25
78	1	2	24
80	1	2	23
82	1	2	22
84	1	2	21
86	1	2	20
88	1	2	19
90	1	2	18
92	1	2	17
94	1	2	16
96	1	2	15
98	1	2	14
100	1	2	13
102	1	2	12
104	1	2	11
106	1	2	10
108	1	2	9
110	1	2	8
112	1	2	7
114	1	2	6
116	1	2	5
118	1	2	4
120	1	2	3
122	1	2	2
124	1	2	1
126	1	2	0
128	1	1	63
130	1	1	62
132	1	1	61
134	1	1	60
136	1	1	59
138	1	1	58
140	1	1	57
142	1	1	56
144	1	1	55
146	1	1	54
148	1	1	53
150	1	1	52
152	1	1	51
154	1	1	50
156	1	1	49
158	1	1	48
160	1	1	47
162	1	1	46
164	1	1	45
166	1	1	44
168	1	1	43
170	1	1	42
172	1	1	41
174	1	1	40
176	1	1	39
178	1	1	38
180	1	1	37
182	1	1	36
184	1	1	35
186	1	1	34
188	1	1	33
190	1	1	32
192	1	1	31
194	1	1	30
196	1	1	29
198	1	1	28
200	1	1	27
202	1	1	26
204	1	1	25
206	1	1	24
208	1	1	23
210	1	1	22
212	1	1	21
214	1	1	20
216	1	1	19
218	1	1	18
220	1	1	17
222	1	1	16
224	1	1	15
226	1	1	14
228	1	1	13
230	1	1	12
232	1	1	11
234	1	1	10
236	1	1	9
238	1	1	8
240	1	1	7
242	1	1	6
244	1	1	5
246	1	1	4
248	1	1	3
250	1	1	2
252	1	1	1
254	1	1	0
