Channel	ROC	FEB	FEBchannel
768	1	1	0
770	1	1	1
772	1	1	2
774	1	1	3
776	1	1	4
778	1	1	5
780	1	1	6
782	1	1	7
784	1	1	8
786	1	1	9
788	1	1	10
790	1	1	11
792	1	1	12
794	1	1	13
796	1	1	14
798	1	1	15
832	1	1	16
834	1	1	17
836	1	1	18
838	1	1	19
840	1	1	20
842	1	1	21
844	1	1	22
846	1	1	23
848	1	1	24
850	1	1	25
852	1	1	26
854	1	1	27
856	1	1	28
858	1	1	29
860	1	1	30
862	1	1	31
904	1	1	32
906	1	1	33
908	1	1	34
910	1	1	35
912	1	1	36
914	1	1	37
916	1	1	38
918	1	1	39
920	1	1	40
922	1	1	41
924	1	1	42
926	1	1	43
928	1	1	44
930	1	1	45
932	1	1	46
934	1	1	47
968	1	1	48
970	1	1	49
972	1	1	50
974	1	1	51
976	1	1	52
978	1	1	53
980	1	1	54
982	1	1	55
984	1	1	56
986	1	1	57
988	1	1	58
990	1	1	59
992	1	1	60
994	1	1	61
996	1	1	62
998	1	1	63
