Channel	ROC	FEB	FEBchannel
0	1	5	0
2	1	5	1
4	1	5	2
6	1	5	3
8	1	5	4
10	1	5	5
12	1	5	6
14	1	5	7
16	1	5	8
18	1	5	9
20	1	5	10
22	1	5	11
24	1	5	12
26	1	5	13
28	1	5	14
30	1	5	15
32	1	5	16
34	1	5	17
36	1	5	18
38	1	5	19
40	1	5	20
42	1	5	21
44	1	5	22
46	1	5	23
48	1	5	24
50	1	5	25
52	1	5	26
54	1	5	27
56	1	5	28
58	1	5	29
60	1	5	30
62	1	5	31
64	1	5	32
66	1	5	33
68	1	5	34
70	1	5	35
72	1	5	36
74	1	5	37
76	1	5	38
78	1	5	39
80	1	5	40
82	1	5	41
84	1	5	42
86	1	5	43
88	1	5	44
90	1	5	45
92	1	5	46
94	1	5	47
96	1	5	48
98	1	5	49
100	1	5	50
102	1	5	51
104	1	5	52
106	1	5	53
108	1	5	54
110	1	5	55
112	1	5	56
114	1	5	57
116	1	5	58
118	1	5	59
120	1	5	60
122	1	5	61
124	1	5	62
126	1	5	63
128	1	4	0
130	1	4	1
132	1	4	2
134	1	4	3
136	1	4	4
138	1	4	5
140	1	4	6
142	1	4	7
144	1	4	8
146	1	4	9
148	1	4	10
150	1	4	11
152	1	4	12
154	1	4	13
156	1	4	14
158	1	4	15
160	1	4	16
162	1	4	17
164	1	4	18
166	1	4	19
168	1	4	20
170	1	4	21
172	1	4	22
174	1	4	23
176	1	4	24
178	1	4	25
180	1	4	26
182	1	4	27
184	1	4	28
186	1	4	29
188	1	4	30
190	1	4	31
192	1	4	32
194	1	4	33
196	1	4	34
198	1	4	35
200	1	4	36
202	1	4	37
204	1	4	38
206	1	4	39
208	1	4	40
210	1	4	41
212	1	4	42
214	1	4	43
216	1	4	44
218	1	4	45
220	1	4	46
222	1	4	47
224	1	4	48
226	1	4	49
228	1	4	50
230	1	4	51
232	1	4	52
234	1	4	53
236	1	4	54
238	1	4	55
240	1	4	56
242	1	4	57
244	1	4	58
246	1	4	59
248	1	4	60
250	1	4	61
252	1	4	62
254	1	4	63
256	1	3	0
258	1	3	1
260	1	3	2
262	1	3	3
264	1	3	4
266	1	3	5
268	1	3	6
270	1	3	7
272	1	3	8
274	1	3	9
276	1	3	10
278	1	3	11
280	1	3	12
282	1	3	13
284	1	3	14
286	1	3	15
288	1	3	16
290	1	3	17
292	1	3	18
294	1	3	19
296	1	3	20
298	1	3	21
300	1	3	22
302	1	3	23
304	1	3	24
306	1	3	25
308	1	3	26
310	1	3	27
312	1	3	28
314	1	3	29
316	1	3	30
318	1	3	31
320	1	3	32
322	1	3	33
324	1	3	34
326	1	3	35
328	1	3	36
330	1	3	37
332	1	3	38
334	1	3	39
336	1	3	40
338	1	3	41
340	1	3	42
342	1	3	43
344	1	3	44
346	1	3	45
348	1	3	46
350	1	3	47
352	1	3	48
354	1	3	49
356	1	3	50
358	1	3	51
360	1	3	52
362	1	3	53
364	1	3	54
366	1	3	55
368	1	3	56
370	1	3	57
372	1	3	58
374	1	3	59
376	1	3	60
378	1	3	61
380	1	3	62
382	1	3	63
384	1	2	0
386	1	2	1
388	1	2	2
390	1	2	3
392	1	2	4
394	1	2	5
396	1	2	6
398	1	2	7
400	1	2	8
402	1	2	9
404	1	2	10
406	1	2	11
