Electrons: Ambient dose per fluence, in units of pSv cm2
Date from ICRP74 and Pellicioni (Radiation Protection Dosimetry 88 (2000) 279-297)

Energy (MeV)      ISO
2.00e+00      1e-12
2.29e+00      160.82
2.62e+00      198.85
3.00e+00      325.09
3.44e+00      416.65
3.93e+00      450.92
4.50e+00      442.06
5.15e+00      415.82
5.90e+00      388.63
6.76e+00      364.71
7.73e+00      346.08
8.85e+00      333.23
1.01e+01      324.65
1.16e+01      321.15
1.33e+01      320.97
1.52e+01      322.79
1.74e+01      324.81
1.99e+01      325.83
2.28e+01      325.46
2.61e+01      322.33
2.99e+01      317.24
3.42e+01      311.79
3.92e+01      307.38
4.49e+01      307.01
5.14e+01      310.35
5.88e+01      314.01
6.73e+01      317.05
7.71e+01      317.69
8.82e+01      316.35
1.01e+02      314.77
1.16e+02      314.97
1.32e+02      316.46
1.52e+02      319.03
1.74e+02      321.63
1.99e+02      323.54
2.27e+02      324.44
2.60e+02      324.85
2.98e+02      323.98
3.41e+02      322.61
3.91e+02      320.87
4.47e+02      319.13
5.12e+02      316.69
5.86e+02      314.72
6.71e+02      312.56
7.68e+02      310.87
8.79e+02      309.19
1.01e+03      308.32
1.15e+03      308.48
1.32e+03      309.32
1.51e+03      310.16
1.73e+03      311.54
1.98e+03      313.9
2.27e+03      315.73
2.59e+03      318.31
2.97e+03      320.56
3.40e+03      322.77
3.89e+03      324.8
4.46e+03      327.3
5.10e+03      328.33
5.84e+03      329.86
6.69e+03      330.37
7.66e+03      330.37
8.76e+03      329.72
1.00e+04      328.1
1.15e+04      328.1
1.32e+04      328.1
1.51e+04      328.1
1.72e+04      328.1
1.97e+04      328.1
2.26e+04      328.1
2.59e+04      328.1
2.96e+04      328.1
3.39e+04      328.1
3.88e+04      328.1
4.44e+04      328.1
5.09e+04      328.1
5.82e+04      328.1
6.66e+04      328.1
7.63e+04      328.1
8.74e+04      328.1
1.00e+05      328.1
