Muons: Ambient dose per fluence, in units of pSv cm2
Data from ICRP74 and Pelliccioni (Radiation Protection Dosimetry 88 (2000) 279-297)

Energy (MeV)      ISO
1.00e+00      394.0
1.25e+00      411.7
1.50e+00      426.6
2.00e+00      450.7
2.50e+00      469.5
3.00e+00      484.8
4.00e+00      508.3
5.00e+00      525.6
6.50e+00      544.3
8.00e+00      557.4
1.00e+01      569.5
1.25e+01      578.9
1.50e+01      583.9
2.00e+01      585.1
2.50e+01      579.3
3.00e+01      569.5
4.00e+01      543.9
5.00e+01      515.5
6.50e+01      474.1
8.00e+01      439.0
1.00e+02      402.6
1.25e+02      369.8
1.50e+02      347.0
2.00e+02      320.0
2.50e+02      307.2
3.00e+02      301.2
4.00e+02      297.8
5.00e+02      298.9
6.50e+02      302.8
8.00e+02      307.0
1.00e+03      311.5
1.25e+03      315.1
1.50e+03      317.3
2.00e+03      319.7
2.50e+03      320.7
3.00e+03      321.1
4.00e+03      321.2
5.00e+03      320.9
6.50e+03      320.5
8.00e+03      320.1
1.00e+04      320.0
1.25e+04      320.2
1.50e+04      320.5
2.00e+04      321.3
2.50e+04      322.0
3.00e+04      322.7
4.00e+04      323.7
5.00e+04      324.4
6.50e+04      324.9
8.00e+04      325.1
1.00e+05      325.0
1.25e+05      324.5
1.50e+05      323.9
2.00e+05      322.5
2.50e+05      321.3
3.00e+05      320.2
4.00e+05      318.6
5.00e+05      317.4
6.50e+05      316.2
8.00e+05      315.4
1.00e+06      315.0
1.25e+06      314.9
1.50e+06      315.1
2.00e+06      315.9
2.50e+06      316.8
3.00e+06      317.7
4.00e+06      319.5
5.00e+06      321.0
6.50e+06      323.0
8.00e+06      324.7
1.00e+07      326.5
