Neutrons: Ambient dose per fluence, in units of pSv cm2
Data from ICRP74 and Pellicioni (Radiation Protection Dosimetry 88 (2000) 279-297)

Energy (MeV)      ISO
1.00e-09      6.6
1.00e-08      9.0
2.53e-08      10.6
1.00e-07      12.9
2.00e-07      13.5
5.00e-07      13.6
1.00e-06      13.3
2.00e-06      12.9
5.00e-06      12.0
1.00e-05      11.3
2.00e-05      10.6
5.00e-05      9.9
1.00e-04      9.4
2.00e-04      8.9
5.00e-04      8.3
1.00e-03      7.9
2.00e-03      7.7
5.00e-03      8.0
1.00e-02      10.5
2.00e-02      16.6
3.00e-02      23.7
5.00e-02      41.1
7.00e-02      60.0
1.00e-01      88.0
1.50e-01      132.0
2.00e-01      170.0
3.00e-01      233.0
5.00e-01      322.0
7.00e-01      375.0
9.00e-01      400.0
1.00e+00      416.0
1.20e+00      425.0
2.00e+00      420.0
3.00e+00      412.0
4.00e+00      408.0
5.00e+00      405.0
6.00e+00      400.0
7.00e+00      405.0
8.00e+00      409.0
9.00e+00      420.0
1.00e+01      440.0
1.20e+01      480.0
1.40e+01      520.0
1.50e+01      540.0
1.60e+01      555.0
1.80e+01      570.0
2.00e+01      600.0
3.00e+01      515.0
5.00e+01      400.0
7.50e+01      330.0
1.00e+02      285.0
1.50e+02      253.0
2.00e+02      247.0
3.00e+02      259.0
5.00e+02      298.0
7.00e+02      335.0
1.00e+03      377.0
1.50e+03      421.0
2.00e+03      447.0
3.00e+03      476.0
5.00e+03      499.0
7.00e+03      508.0
1.00e+04      511.0
1.50e+04      510.0
2.00e+04      508.0
3.00e+04      504.0
5.00e+04      501.0
7.00e+04      504.0
1.00e+05      511.0
1.50e+05      528.0
2.00e+05      545.0
3.00e+05      577.0
5.00e+05      629.0
7.00e+05      669.0
1.00e+06      717.0
1.50e+06      777.0
2.00e+06      824.0
3.00e+06      896.0
5.00e+06      998.0
7.00e+06      1073.0
1.00e+07      1160.0
