Photons: Ambient dose per fluence, in units of pSv cm2 
Data from ICRP74 and Pelliccioni (Radiation Protection Dosimetry 88 (2000) 279-297)

Energy (MeV)      ISO
1.00e-03      2.9512e-09
1.26e-03      1.6406e-08
1.58e-03      9.1199e-08
2.00e-03      5.0699e-07
2.51e-03      2.8184e-06
3.16e-03      1.5667e-05
3.98e-03      8.7096e-05
5.01e-03      0.00048417
6.31e-03      0.0026915
7.94e-03      0.014962
1.00e-02      0.083176
1.26e-02      0.46238
1.58e-02      0.93903
2.00e-02      1.0505
2.51e-02      0.9307
3.16e-02      0.76366
3.98e-02      0.62173
5.01e-02      0.52108
6.31e-02      0.51322
7.94e-02      0.55911
1.00e-01      0.61958
1.26e-01      0.72946
1.58e-01      0.92815
2.00e-01      1.2264
2.51e-01      1.5403
3.16e-01      1.9055
3.98e-01      2.348
5.01e-01      2.7945
6.31e-01      3.6249
7.94e-01      4.2697
1.00e+00      5.1844
1.26e+00      6.1688
1.58e+00      7.1466
2.00e+00      8.2509
2.51e+00      9.5675
3.16e+00      10.544
3.98e+00      10.715
5.01e+00      10.375
6.31e+00      9.4276
7.94e+00      9.1033
1.00e+01      8.7619
1.26e+01      8.4957
1.58e+01      8.3464
2.00e+01      8.2813
2.51e+01      8.2585
3.16e+01      8.2149
3.98e+01      8.2566
5.01e+01      8.6437
6.31e+01      8.8675
7.94e+01      8.9207
1.00e+02      9.0012
1.26e+02      9.264
1.58e+02      9.6872
2.00e+02      10.186
2.51e+02      10.715
3.16e+02      11.169
3.98e+02      11.561
5.01e+02      11.803
6.31e+02      11.885
7.94e+02      11.83
1.00e+03      11.695
1.26e+03      11.535
1.58e+03      11.429
2.00e+03      11.508
2.51e+03      11.83
3.16e+03      12.331
3.98e+03      12.882
5.01e+03      13.305
6.31e+03      13.428
7.94e+03      13.092
1.00e+04      12.19
1.26e+04      12.19
1.58e+04      12.19
2.00e+04      12.19
2.51e+04      12.19
3.16e+04      12.19
3.98e+04      12.19
5.01e+04      12.19
6.31e+04      12.19
7.94e+04      12.19
1.00e+05      12.19
