Negative pions: Ambient dose per fluence, in units of pSv cm2
Date from ICRP74 and Pellicioni (Radiation Protection Dosimetry 88 (2000) 279-297)

Energy (MeV)      ISO
1.00e+00      1130.0
1.25e+00      1245.2
1.50e+00      1345.3
2.00e+00      1507.9
2.50e+00      1631.0
3.00e+00      1723.7
4.00e+00      1843.3
5.00e+00      1902.4
6.50e+00      1921.2
8.00e+00      1890.7
1.00e+01      1810.0
1.25e+01      1684.7
1.50e+01      1563.7
2.00e+01      1368.4
2.50e+01      1231.1
3.00e+01      1135.8
4.00e+01      1024.1
5.00e+01      975.0
6.50e+01      960.9
8.00e+01      974.3
1.00e+02      1003.4
1.25e+02      1038.1
1.50e+02      1063.2
2.00e+02      1080.0
2.50e+02      1062.8
3.00e+02      1031.8
4.00e+02      964.1
5.00e+02      905.4
6.50e+02      839.2
8.00e+02      794.2
1.00e+03      757.0
1.25e+03      733.4
1.50e+03      722.6
2.00e+03      717.3
2.50e+03      720.2
3.00e+03      725.5
4.00e+03      735.8
5.00e+03      743.0
6.50e+03      747.7
8.00e+03      748.8
1.00e+04      748.0
1.25e+04      745.7
1.50e+04      742.9
2.00e+04      737.5
2.50e+04      732.8
3.00e+04      728.9
4.00e+04      722.9
5.00e+04      718.9
6.50e+04      715.2
8.00e+04      713.5
1.00e+05      713.0
1.25e+05      714.2
1.50e+05      716.4
2.00e+05      721.7
2.50e+05      727.4
3.00e+05      732.9
4.00e+05      742.8
5.00e+05      751.5
6.50e+05      762.6
8.00e+05      771.8
1.00e+06      782.0
1.25e+06      792.4
1.50e+06      801.0
2.00e+06      814.7
2.50e+06      825.5
3.00e+06      834.5
4.00e+06      848.8
5.00e+06      860.0
6.50e+06      873.5
8.00e+06      884.3
1.00e+07      896.0
