Positive pions: Ambient dose per fluence, in units of pSv cm2 
Date from ICRP74 and Pellicioni (Radiation Protection Dosimetry 88 (2000) 279-297)

Energy (MeV)      ISO
1.00e+00      224.0
1.25e+00      245.3
1.50e+00      264.1
2.00e+00      296.5
2.50e+00      323.8
3.00e+00      347.5
4.00e+00      387.2
5.00e+00      419.9
6.50e+00      459.9
8.00e+00      492.5
1.00e+01      528.0
1.25e+01      563.6
1.50e+01      592.9
2.00e+01      640.3
2.50e+01      678.9
3.00e+01      712.1
4.00e+01      769.2
5.00e+01      819.0
6.50e+01      884.5
8.00e+01      938.6
1.00e+02      994.0
1.25e+02      1040.7
1.50e+02      1067.6
2.00e+02      1080.0
2.50e+02      1059.4
3.00e+02      1026.9
4.00e+02      958.6
5.00e+02      900.6
6.50e+02      835.9
8.00e+02      792.4
1.00e+03      757.0
1.25e+03      735.3
1.50e+03      726.0
2.00e+03      722.9
2.50e+03      727.1
3.00e+03      733.1
4.00e+03      743.7
5.00e+03      750.0
6.50e+03      752.4
8.00e+03      751.2
1.00e+04      748.0
1.25e+04      743.9
1.50e+04      740.2
2.00e+04      734.0
2.50e+04      729.2
3.00e+04      725.4
4.00e+04      720.1
5.00e+04      716.7
6.50e+04      714.0
8.00e+04      712.9
1.00e+05      713.0
1.25e+05      714.7
1.50e+05      717.1
2.00e+05      722.7
2.50e+05      728.4
3.00e+05      733.8
4.00e+05      743.6
5.00e+05      752.1
6.50e+05      762.9
8.00e+05      772.0
1.00e+06      782.0
1.25e+06      792.2
1.50e+06      800.7
2.00e+06      814.4
2.50e+06      825.2
3.00e+06      834.1
4.00e+06      848.4
5.00e+06      859.8
6.50e+06      873.3
8.00e+06      884.2
1.00e+07      896.0
