Protons: Ambient dose per fluence, in units of pSv cm2 
Data from ICRP74 and Pelliccioni (Radiation Protection Dosimetry 88 (2000) 279-297)

Energy (MeV)      ISO
4.00e+01      4289.5
5.00e+01      2790.0
6.50e+01      2000.8
8.00e+01      1710.4
1.00e+02      1520.0
1.25e+02      1362.6
1.50e+02      1247.6
2.00e+02      1091.3
2.50e+02      991.0
3.00e+02      921.9
4.00e+02      835.3
5.00e+02      786.0
6.50e+02      746.5
8.00e+02      726.7
1.00e+03      714.4
1.25e+03      709.6
1.50e+03      710.3
2.00e+03      717.9
2.50e+03      727.7
3.00e+03      737.2
4.00e+03      753.3
5.00e+03      765.0
6.50e+03      776.0
8.00e+03      782.7
1.00e+04      788.1
1.25e+04      792.0
1.50e+04      794.4
2.00e+04      797.0
2.50e+04      798.6
3.00e+04      799.8
4.00e+04      802.2
5.00e+04      804.9
6.50e+04      809.5
8.00e+04      814.6
1.00e+05      822.0
1.25e+05      831.7
1.50e+05      841.2
2.00e+05      858.9
2.50e+05      874.6
3.00e+05      888.6
4.00e+05      912.4
5.00e+05      932.0
6.50e+05      955.9
8.00e+05      975.2
1.00e+06      996.0
1.25e+06      1016.4
1.50e+06      1032.5
2.00e+06      1056.4
2.50e+06      1073.1
3.00e+06      1085.2
4.00e+06      1100.8
5.00e+06      1109.3
6.50e+06      1114.7
8.00e+06      1115.1
1.00e+07      1111.1
