# Tracker Misalignments from MisalignTracker.C, parameters:
# twist 0.001 rad
# parallelogram angle 0.001 rad
# zsqueeze 1 mm
# rsqueeze 0.5 mm
# trackerangle 0.001 rad
# trackerpos 5 mm
# planeangle = 0.001 rad
# planepos = 1 mm
# panelangle = 0.0001 rad
# panelposv = 0.1 mm
# panelposw = 0.2 mm
# wiredV = 0.05 mm
# wiredW = 0.075 mm
# twistval = -0.000701062 rad
# xparallelval = -2.28864e-05 mm
# yparallelval = 0.000784431 mm
# zsqueezeval = 0.0373737 mm
# rsqueezeval = 0.0831656 mm

#
#
#
TABLE TrkAlignTracker
#row, strawid, dx, dy, dz, rx, ry, rz
0, 0_0_0, -6.48424, 3.98859, 2.37044, -0.00080944, 0.000585653, -0.000302189
#
#
#
TABLE TrkAlignPlane
#row, strawid, dx, dy, dz, rx, ry, rz
0, 0_0_0, 0.837012, 0.867969, 1.16164, 0.00143118, 0.000650758, 1.25173e-05
1, 1_0_0, 1.0193, 0.458779, -0.534647, -5.28086e-05, 0.0013066, 0.00292453
2, 2_0_0, -1.03056, -1.40763, 1.03783, 0.00099703, 4.86026e-06, -0.00158104
3, 3_0_0, 1.09864, -0.0184072, 1.37914, -0.000679764, -0.000119144, -0.000205309
4, 4_0_0, 0.878979, 1.29717, 0.0307878, 0.000396181, 0.000724657, 0.000998939
5, 5_0_0, 1.45736, 0.145291, 0.546829, 0.00013381, -0.00018526, -0.000381828
6, 6_0_0, 0.75724, 0.315141, -1.54568, 0.00149453, 0.000539237, 0.000805376
7, 7_0_0, -0.787021, -1.20152, 1.20354, -0.000885008, -0.000117274, -0.00106702
8, 8_0_0, 0.543302, -0.619155, -0.28764, 0.000345842, 0.00091077, 0.00112091
9, 9_0_0, -0.909887, 0.399072, -1.57561, 0.000961265, 0.00201072, -0.000718647
10, 10_0_0, -0.252405, -1.66815, 0.0665358, 0.000173141, 0.00206019, 0.000710073
11, 11_0_0, -0.724228, 0.448137, 0.522606, 0.00165262, 0.000819995, 0.000614661
12, 12_0_0, 0.844964, 0.525718, -0.471997, 0.00101727, -0.00104261, -0.000358169
13, 13_0_0, -2.19405, 2.91606, -1.42815, -0.000670216, 0.000767385, -0.00166547
14, 14_0_0, -0.283976, -0.552005, -0.119262, -0.000851104, -0.000807168, -0.000370031
15, 15_0_0, -0.120823, 1.25217, -0.447419, 0.000939467, 0.000184869, -0.000371115
16, 16_0_0, -0.0259232, 0.6932, -0.201279, -0.0017116, 0.000825296, 0.000318428
